"mtps","ExpName","n","geomean"
200,"XPT",144,1.00275758525038
400,"XPT",145,1.00675528751846
800,"XPT",146,1.01096510776154
1600,"XPT",146,1.01333203328682
3200,"XPT",146,1.01444574712197
6400,"XPT",146,1.01523175470655
200,"Hermes-UnC",143,1.00110490356812
400,"Hermes-UnC",144,1.02732785212863
800,"Hermes-UnC",146,1.04573090577597
1600,"Hermes-UnC",146,1.05344178853956
3200,"Hermes-UnC",146,1.05824975709181
6400,"Hermes-UnC",146,1.06074166562565
200,"Pythia",144,0.932732575208762
400,"Pythia",145,1.01276845091213
800,"Pythia",146,1.08079920330178
1600,"Pythia",146,1.12994500302918
3200,"Pythia",146,1.15050361906482
6400,"Pythia",146,1.15330720270074
200,"XPT+Pythia",143,0.923960469061622
400,"XPT+Pythia",145,1.00588426420447
800,"XPT+Pythia",146,1.07643556521564
1600,"XPT+Pythia",146,1.12653891024327
3200,"XPT+Pythia",146,1.14915023738626
6400,"XPT+Pythia",146,1.15164629297392
200,"Hermes-UnC+Pythia",143,0.90305305531853
400,"Hermes-UnC+Pythia",145,1.00238478999098
800,"Hermes-UnC+Pythia",146,1.08740731530586
1600,"Hermes-UnC+Pythia",146,1.14602116136003
3200,"Hermes-UnC+Pythia",146,1.17079306316506
6400,"Hermes-UnC+Pythia",146,1.17427127416726
