"category","ExpName","mean","n"
"AVG","Hermes-UnC",3.6950061600692,146
"AVG","Hermes-UnC+Pythia",35.166540019526,146
"AVG","Pythia",28.9654215262869,146
"AVG","XPT",0.149434690354274,146
"AVG","XPT+Pythia",29.5968822351109,146
"specrate-fp","Hermes-UnC",2.92377923162723,30
"specrate-fp","Hermes-UnC+Pythia",23.2924604389247,30
"specrate-fp","Pythia",17.1228389127321,30
"specrate-fp","XPT",0.117061233018164,30
"specrate-fp","XPT+Pythia",18.0662996709118,30
"specrate-int","Hermes-UnC",3.71040184311477,28
"specrate-int","Hermes-UnC+Pythia",48.8104818004889,28
"specrate-int","Pythia",43.4351969365974,28
"specrate-int","XPT",0.00101666878260884,28
"specrate-int","XPT+Pythia",43.5041261094131,28
"specspeed-fp","Hermes-UnC",0.61336197507546,32
"specspeed-fp","Hermes-UnC+Pythia",7.7061816597866,32
"specspeed-fp","Pythia",4.99258339177849,32
"specspeed-fp","XPT",0.35470596055113,32
"specspeed-fp","XPT+Pythia",6.55767463146274,32
"specspeed-int","Hermes-UnC",5.86140513592246,56
"specspeed-int","Hermes-UnC+Pythia",50.3973165385036,56
"specspeed-int","Pythia",41.7735391552552,56
"specspeed-int","XPT",0.123688756029106,56
"specspeed-int","XPT+Pythia",41.9856195880081,56
