"rank","TraceName","speedup"
1,"706.stockfish_r-pos_1to6_classical-1B",1
2,"706.stockfish_r-pos_1to6_nnue-1B",1
3,"706.stockfish_r-pos_7to11_nnue-1B",1
4,"710.omnetpp_r-queuenet_allocdealloc-134B",1
5,"710.omnetpp_r-queuenet_allocdealloc-216B",1
6,"710.omnetpp_r-queuenet_allocdealloc-38B",1
7,"710.omnetpp_r-queuenet_forkjoin-141B",1
8,"710.omnetpp_r-queuenet_forkjoin-27B",1
9,"710.omnetpp_r-queuenet_forkjoin-86B",1
10,"710.omnetpp_r-queuenet_forkjoin-92B",1
11,"710.omnetpp_r-queuenet_resourcealloc-105B",1
12,"710.omnetpp_r-queuenet_resourcealloc-13B",1
13,"710.omnetpp_r-queuenet_ring-132B",1
14,"710.omnetpp_r-queuenet_ring-29B",1
15,"710.omnetpp_r-queuenet_ring-54B",1
16,"710.omnetpp_r-queuenet_smallcqn-27B",1
17,"710.omnetpp_r-queuenet_smallcqn-35B",1
18,"710.omnetpp_r-queuenet_smallcqn-59B",1
19,"710.omnetpp_r-queuenet_tandemfifos-6B",1
20,"753.ns3_r-tcp_pacing-195B",1
21,"753.ns3_r-tcp_pacing-82B",1
22,"753.ns3_r-wifi_eht_network-114B",1
23,"753.ns3_r-wifi_eht_network-59B",1
24,"729.abc_r-twoexact-6B",1.00000560208398
25,"753.ns3_r-mobile_scenario-19B",1.00000858597567
26,"714.cpython_r-dna_bench-4B",1.00001115753887
27,"753.ns3_r-tcp_pacing-109B",1.00001165446832
28,"753.ns3_r-tcp_pacing-19B",1.00001167188011
29,"710.omnetpp_r-queuenet_onefifo-57B",1.00001197375353
30,"710.omnetpp_r-queuenet_onefifo-157B",1.00001200984808
31,"710.omnetpp_r-queuenet_tandemfifos-67B",1.00001248392694
32,"734.vpr_r-jpeg_place-138B",1.00001655615434
33,"753.ns3_r-wifi_mixed_network-99B",1.00002207286252
34,"729.abc_r-vga_lcd_miter-460B",1.00002252734256
35,"753.ns3_r-wifi_mixed_network-60B",1.00003303782831
36,"753.ns3_r-mobile_scenario-58B",1.00003485352805
37,"753.ns3_r-lena_radio_link_failure-8B",1.00004434688131
38,"729.abc_r-vga_lcd_miter-382B",1.00005106046197
39,"753.ns3_r-wifi_mixed_network-279B",1.00005578551585
40,"753.ns3_r-dctcp_example-10B",1.00005664631176
41,"714.cpython_r-coreml_mobilenetv2-79B",1.00007649613695
42,"714.cpython_r-coreml_resnet50-591B",1.00007684557455
43,"734.vpr_r-smithwaterman_place-116B",1.00007709836037
44,"753.ns3_r-lena_radio_link_failure-19B",1.00007798400214
45,"753.ns3_r-lena_radio_link_failure-25B",1.00007822277847
46,"714.cpython_r-coreml_resnet50-67B",1.00008506656459
47,"714.cpython_r-coreml_mobilenetv2-36B",1.00009470593806
48,"729.abc_r-vga_lcd_miter-254B",1.00009591351986
49,"753.ns3_r-wifi_eht_network-95B",1.00009990384255
50,"729.abc_r-mem_ctrl-93B",1.00013512372266
51,"753.ns3_r-mobile_scenario-254B",1.00014952284621
52,"729.abc_r-mem_ctrl-91B",1.00015622468581
53,"735.gem5_r-synthetic_traffic_74_ruby-116B",1.00016391427284
54,"753.ns3_r-mobile_scenario-164B",1.00016575935232
55,"729.abc_r-mem_ctrl-138B",1.00018903591682
56,"721.gcc_r-gcc_pp_O2_fpic-261B",1.00019076833856
57,"729.abc_r-twoexact-20B",1.00022551473739
58,"735.gem5_r-riscv_boot_timing-99B",1.00024329016776
59,"753.ns3_r-mobile_scenario-220B",1.00024469107751
60,"729.abc_r-vga_lcd_miter-451B",1.00024491795249
61,"735.gem5_r-riscv_boot_timing-221B",1.00025438256926
62,"710.omnetpp_r-queuenet_terminal-15B",1.00025828669824
63,"710.omnetpp_r-queuenet_terminal-34B",1.00025834389263
64,"753.ns3_r-lena_radio_link_failure-29B",1.00026280608339
65,"729.abc_r-twoexact-41B",1.00030689141727
66,"707.ntest_r-othello_154_20_16-1675B",1.00032258429637
