"rank","TraceName","speedup"
1,"727.cppcheck_r-770_7z-404B",0.996147489848855
2,"729.abc_r-des_system90-75B",0.997693207778459
3,"734.vpr_r-smithwaterman_place-17B",0.999701361928507
4,"714.cpython_r-coreml_mobilenetv2-262B",0.999864618494919
5,"753.ns3_r-tcp_pacing-19B",0.999988328937233
6,"708.sqlite_r-cte_size2000-272B",0.999990716155746
7,"706.stockfish_r-pos_1to6_classical-1B",1
8,"706.stockfish_r-pos_1to6_nnue-1B",1
9,"706.stockfish_r-pos_7to11_nnue-1B",1
10,"710.omnetpp_r-queuenet_allocdealloc-134B",1
11,"710.omnetpp_r-queuenet_allocdealloc-216B",1
12,"710.omnetpp_r-queuenet_allocdealloc-38B",1
13,"710.omnetpp_r-queuenet_forkjoin-141B",1
14,"710.omnetpp_r-queuenet_forkjoin-27B",1
15,"710.omnetpp_r-queuenet_forkjoin-86B",1
16,"710.omnetpp_r-queuenet_forkjoin-92B",1
17,"710.omnetpp_r-queuenet_onefifo-157B",1
18,"710.omnetpp_r-queuenet_onefifo-57B",1
19,"710.omnetpp_r-queuenet_resourcealloc-105B",1
20,"710.omnetpp_r-queuenet_resourcealloc-13B",1
21,"710.omnetpp_r-queuenet_ring-132B",1
22,"710.omnetpp_r-queuenet_ring-29B",1
23,"710.omnetpp_r-queuenet_ring-54B",1
24,"710.omnetpp_r-queuenet_smallcqn-27B",1
25,"710.omnetpp_r-queuenet_smallcqn-35B",1
26,"710.omnetpp_r-queuenet_smallcqn-59B",1
27,"710.omnetpp_r-queuenet_tandemfifos-67B",1
28,"710.omnetpp_r-queuenet_tandemfifos-6B",1
29,"714.cpython_r-coreml_mobilenetv2-36B",1
30,"714.cpython_r-coreml_mobilenetv2-79B",1
31,"714.cpython_r-coreml_resnet50-591B",1
32,"714.cpython_r-coreml_resnet50-67B",1
33,"714.cpython_r-dna_bench-4B",1
34,"753.ns3_r-lena_radio_link_failure-8B",1
35,"753.ns3_r-mobile_scenario-19B",1
36,"753.ns3_r-mobile_scenario-58B",1
37,"753.ns3_r-tcp_pacing-109B",1
38,"753.ns3_r-tcp_pacing-195B",1
39,"753.ns3_r-tcp_pacing-82B",1
40,"753.ns3_r-wifi_mixed_network-279B",1
41,"753.ns3_r-wifi_mixed_network-60B",1
42,"753.ns3_r-wifi_mixed_network-99B",1
43,"729.abc_r-mem_ctrl-138B",1.00000572517991
44,"714.cpython_r-dna_bench-357B",1.00000658969898
45,"734.vpr_r-jpeg_place-138B",1.00000827794012
46,"729.abc_r-mem_ctrl-93B",1.00001125549409
47,"729.abc_r-vga_lcd_miter-460B",1.00001126335411
48,"714.cpython_r-dna_bench-181B",1.00001227023976
49,"729.abc_r-beem6_fraig-249B",1.00001392621889
50,"734.vpr_r-smithwaterman_place-116B",1.00001713238191
51,"729.abc_r-vga_lcd_miter-382B",1.00001914535151
52,"753.ns3_r-lena_radio_link_failure-19B",1.00002227990241
53,"753.ns3_r-lena_radio_link_failure-25B",1.0000223478669
54,"729.abc_r-twoexact-6B",1.00002240469602
55,"729.abc_r-vga_lcd_miter-254B",1.00002256419514
56,"729.abc_r-mem_ctrl-91B",1.00002313382338
57,"753.ns3_r-wifi_eht_network-59B",1.00002483207311
58,"714.cpython_r-dna_bench-237B",1.00002523930011
59,"753.ns3_r-mobile_scenario-164B",1.00002617070277
60,"753.ns3_r-dctcp_example-10B",1.00003399009755
61,"753.ns3_r-mobile_scenario-254B",1.00003518555985
62,"729.abc_r-twoexact-20B",1.00007332908401
63,"753.ns3_r-wifi_eht_network-114B",1.00007473934653
64,"735.gem5_r-synthetic_traffic_74_ruby-116B",1.0000819108155
65,"729.abc_r-vga_lcd_miter-30B",1.00009025941618
66,"729.abc_r-vga_lcd_miter-451B",1.00009679219286
67,"753.ns3_r-wifi_eht_network-95B",1.00009993629061
68,"753.ns3_r-mobile_scenario-220B",1.00010485294375
69,"735.gem5_r-riscv_boot_timing-99B",1.00011054487569
70,"735.gem5_r-riscv_boot_timing-221B",1.00011057054401
71,"729.abc_r-beem6_fraig-79B",1.00012367532136
72,"753.ns3_r-lena_radio_link_failure-29B",1.00012562670595
73,"710.omnetpp_r-queuenet_terminal-34B",1.00013529968881
74,"721.gcc_r-gcc_pp_O2_fpic-261B",1.0001449673442
75,"707.ntest_r-othello_154_20_16-1675B",1.00015837372806
76,"729.abc_r-twoexact-41B",1.00015911893572
77,"729.abc_r-mem_ctrl-32B",1.00016869424169
78,"710.omnetpp_r-queuenet_terminal-15B",1.00019679228574
79,"729.abc_r-beem6_fraig-9B",1.00022015877333
80,"708.sqlite_r-cte_size2000-59B",1.00022820183474
81,"734.vpr_r-smithwaterman_route-54B",1.00026804676385
82,"708.sqlite_r-cte_size2000-141B",1.0002801156943
83,"710.omnetpp_r-queuenet_callcenter-15B",1.00028015640036
84,"707.ntest_r-othello_154_20_16-680B",1.00029045265052
85,"729.abc_r-mcml-94B",1.00031388551026
86,"750.sealcrypto_r-ecuador_galapagos-811B",1.00033901497316
87,"750.sealcrypto_r-ecuador_galapagos-1207B",1.00033979788318
88,"707.ntest_r-othello_154_20_16-1155B",1.00034203889968
89,"707.ntest_r-othello_154_20_16-1846B",1.00045484469448
90,"727.cppcheck_r-770_7z-297B",1.00052044886059
91,"708.sqlite_r-fp_size1000-121B",1.00056816567711
92,"729.abc_r-twoexact-30B",1.00060351516794
93,"729.abc_r-mcml-112B",1.00063057846976
94,"708.sqlite_r-fp_size1000-283B",1.00067992331357
95,"727.cppcheck_r-747_dealii-154B",1.00068519160599
96,"729.abc_r-beem6_fraig-93B",1.00070408574807
97,"729.abc_r-mem_ctrl-37B",1.00071997763176
98,"753.ns3_r-wifi_eht_network-42B",1.00074769849058
99,"753.ns3_r-wifi_eht_network-36B",1.00110682017781
100,"723.llvm_r-transformsplus-236B",1.00120852988188
101,"735.gem5_r-synthetic_traffic_21-134B",1.00136941503495
102,"721.gcc_r-ref32_O3_inline12000-51B",1.00142183563162
103,"734.vpr_r-jpeg_route-304B",1.00162358179644
104,"753.ns3_r-dctcp_example-78B",1.00190398639668
105,"723.llvm_r-codegen-250B",1.00195967715149
106,"753.ns3_r-dctcp_example-151B",1.00196905086916
107,"708.sqlite_r-fp_size1000-503B",1.00210352392325
108,"727.cppcheck_r-770_7z-352B",1.00254925463846
109,"734.vpr_r-jpeg_place-245B",1.00284490761537
110,"723.llvm_r-transformsplus-499B",1.00331721680966
111,"708.sqlite_r-cte_size2000-233B",1.00359754470243
112,"708.sqlite_r-main_size2000-327B",1.00370210220171
113,"721.gcc_r-gcc_pp_O2_fpic-186B",1.00371458110321
114,"734.vpr_r-jpeg_place-24B",1.00435557690849
115,"729.abc_r-des_system90-88B",1.00438747759616
116,"710.omnetpp_r-randommesh_general-279B",1.00488584334573
117,"723.llvm_r-codegen-232B",1.00515767631312
118,"729.abc_r-des_system90-77B",1.0055387713998
119,"734.vpr_r-smithwaterman_route-156B",1.00613328893591
120,"734.vpr_r-jpeg_route-49B",1.00637493535905
121,"710.omnetpp_r-randommesh_general-95B",1.00727234081317
122,"721.gcc_r-ref32_O3_inline12000-41B",1.00865431667249
123,"727.cppcheck_r-738_diamond-63B",1.01060763438068
124,"734.vpr_r-smithwaterman_place-213B",1.01410198730976
125,"727.cppcheck_r-738_diamond-320B",1.01524843315888
126,"721.gcc_r-gcc_pp_O2_fpic-309B",1.01663025006069
127,"723.llvm_r-transformsplus-17B",1.0174293752393
128,"734.vpr_r-jpeg_place-76B",1.02085866261398
129,"708.sqlite_r-main_size2000-136B",1.02103846022202
130,"727.cppcheck_r-738_diamond-4B",1.03007439939694
131,"729.abc_r-mcml-19B",1.03333162664482
132,"727.cppcheck_r-747_dealii-3B",1.03794348897553
133,"721.gcc_r-ref32_O3_inline12000-390B",1.0464298927118
134,"727.cppcheck_r-770_7z-57B",1.04932152612565
135,"729.abc_r-des_system90-32B",1.05084921158498
136,"729.abc_r-des_system90-103B",1.05116037779032
137,"708.sqlite_r-main_size2000-556B",1.05202131281806
138,"708.sqlite_r-main_size2000-499B",1.05286628918249
139,"727.cppcheck_r-747_dealii-218B",1.05510711488028
140,"727.cppcheck_r-770_7z-38B",1.06090196796034
141,"721.gcc_r-ref32_O3_inline12000-113B",1.06851395945734
142,"708.sqlite_r-fp_size1000-424B",1.08650609132335
143,"723.llvm_r-codegen-388B",1.09035804905554
144,"727.cppcheck_r-747_dealii-21B",1.16187346789756
