"rank","TraceName","speedup"
1,"853.ns3_s-tcp_validation-187B",0.997974493623406
2,"853.ns3_s-tcp_pacing-181B",0.99998838384425
3,"817.flac_s-compiler_puzzles_lvl7-189B",1
4,"817.flac_s-compiler_puzzles_lvl7-216B",1
5,"817.flac_s-compiler_puzzles_lvl7-279B",1
6,"817.flac_s-compiler_puzzles_lvl8-1200B",1
7,"817.flac_s-designing_motherboard_lvl6-823B",1
8,"817.flac_s-designing_motherboard_lvl7-122B",1
9,"817.flac_s-designing_motherboard_lvl7-452B",1
10,"817.flac_s-designing_motherboard_lvl7-456B",1
11,"817.flac_s-designing_motherboard_lvl8-512B",1
12,"817.flac_s-git_etiquette_lvl6-241B",1
13,"817.flac_s-git_etiquette_lvl6-298B",1
14,"817.flac_s-git_etiquette_lvl6-329B",1
15,"817.flac_s-git_etiquette_lvl7-305B",1
16,"817.flac_s-git_etiquette_lvl7-597B",1
17,"817.flac_s-git_etiquette_lvl7-628B",1
18,"817.flac_s-git_etiquette_lvl8-351B",1
19,"817.flac_s-git_etiquette_lvl8-49B",1
20,"817.flac_s-learning_lvl7-132B",1
21,"817.flac_s-working_for_team_lvl7-37B",1
22,"817.flac_s-working_for_team_lvl8-200B",1
23,"817.flac_s-working_for_team_lvl8-809B",1
24,"835.gem5_s-bwaves_match-71B",1
25,"835.gem5_s-bwaves_o3cpu-153B",1
26,"846.minizinc_s-pennies_7_8-1421B",1
27,"846.minizinc_s-pennies_7_8-280B",1
28,"853.ns3_s-tcp_pacing-40B",1
29,"817.flac_s-learning_lvl8-1442B",1.00000531620806
30,"817.flac_s-designing_motherboard_lvl8-1550B",1.00000531875286
31,"817.flac_s-compiler_puzzles_lvl8-2280B",1.00000532282962
32,"817.flac_s-learning_lvl7-1542B",1.00000539211457
33,"817.flac_s-working_for_team_lvl7-141B",1.00000539470348
34,"817.flac_s-learning_lvl7-329B",1.0000053971201
35,"817.flac_s-working_for_team_lvl7-100B",1.00000539840207
36,"817.flac_s-designing_motherboard_lvl6-957B",1.00000564608106
37,"817.flac_s-designing_motherboard_lvl6-637B",1.00000564675058
38,"817.flac_s-designing_motherboard_lvl6-198B",1.00000564777111
39,"817.flac_s-designing_motherboard_lvl7-408B",1.00000570040929
40,"817.flac_s-learning_lvl6-204B",1.0000057590417
41,"817.flac_s-learning_lvl6-467B",1.00000575947289
42,"817.flac_s-learning_lvl6-548B",1.00000576352267
43,"817.flac_s-working_for_team_lvl6-125B",1.00000576465231
44,"817.flac_s-working_for_team_lvl6-162B",1.00000576531701
45,"817.flac_s-compiler_puzzles_lvl6-49B",1.00000577277214
46,"817.flac_s-compiler_puzzles_lvl6-391B",1.00000577610656
47,"817.flac_s-working_for_team_lvl6-303B",1.00001152618172
48,"817.flac_s-working_for_team_lvl6-371B",1.00001153169775
49,"817.flac_s-compiler_puzzles_lvl6-161B",1.00001153868344
50,"853.ns3_s-tcp_pacing-111B",1.00001161642563
51,"846.minizinc_s-roster_sickness_small_4-1994B",1.00001933002146
52,"838.diamond_s-crap_ultra-2B",1.00002014545015
53,"846.minizinc_s-pennies_7_8-698B",1.00003504591014
54,"853.ns3_s-mobile_scenario-103B",1.00003516638094
55,"846.minizinc_s-roster_sickness_small_4-1271B",1.00003861264757
56,"853.ns3_s-mobile_scenario-19B",1.0000429468404
57,"853.ns3_s-mobile_scenario-228B",1.00006990746
58,"835.gem5_s-bwaves_o3cpu-342B",1.00007992566913
59,"846.minizinc_s-roster_sickness_small_4-2502B",1.00008717804663
60,"846.minizinc_s-pennies_7_8-333B",1.00008744239732
61,"853.ns3_s-mobile_scenario-56B",1.00009587477012
62,"853.ns3_s-tcp_validation-123B",1.00015004876585
63,"835.gem5_s-bwaves_match-566B",1.00019516547244
64,"853.ns3_s-traffic_fqcodel-112B",1.00033704078193
65,"821.gcc_s-lz4hc_0018-11B",1.00046740297061
66,"853.ns3_s-tcp_validation-195B",1.00049916050279
67,"853.ns3_s-traffic_fqcodel-55B",1.00050447723546
68,"821.gcc_s-huf_decompress_0004-8B",1.00051057622174
69,"823.llvm_s-dagcombiner_0006-6B",1.00056079779582
70,"821.gcc_s-unicodeobject_0016-48B",1.00064598903613
71,"834.vpr_s-wb_conmax_place-138B",1.00066212173231
72,"823.llvm_s-etf_inst3_0005-2B",1.00069180939603
73,"823.llvm_s-standardinstrumentations_0014-11B",1.00071660209151
74,"823.llvm_s-dagcombiner_0002-6B",1.00072152719179
75,"853.ns3_s-tcp_validation-211B",1.00072930288703
76,"821.gcc_s-unicodeobject_0016-8B",1.00077306845251
77,"821.gcc_s-oggenc_0001-48B",1.00084475924362
78,"823.llvm_s-etf_inst3_0011-1B",1.00088968604759
79,"821.gcc_s-huf_decompress_0004-44B",1.00092972805454
80,"821.gcc_s-oggenc_0008-9B",1.00093011608564
81,"821.gcc_s-zstd_lazy_0019-47B",1.00093295897621
82,"821.gcc_s-oggenc_0017-69B",1.00097082142279
83,"823.llvm_s-generic_cpu_exec_6_0012-7B",1.00105104678579
84,"821.gcc_s-oggenc_0001-39B",1.0010747295264
