"rank","TraceName","speedup"
1,"853.ns3_s-tcp_validation-202B",0.971392011699113
2,"854.graph500_s-bfs-3313B",0.973309937199852
3,"829.abc_s-bitcoin-289B",0.993305455382491
4,"823.llvm_s-passbuilderpipelines_0003-0B",0.998750726947681
5,"823.llvm_s-insn_recog_0005-7B",0.999012010034054
6,"823.llvm_s-etf_inst3_0011-1B",0.999043306333312
7,"823.llvm_s-generic_cpu_exec_6_0012-7B",0.999243955174314
8,"823.llvm_s-gmodel_0001-1B",0.999316278274742
9,"823.llvm_s-selectiondagbuilder_0007-0B",0.999382667307927
10,"823.llvm_s-inst_constrs_3_0017-18B",0.999439763838911
11,"823.llvm_s-matrix_free_0013-1B",0.999571208049854
12,"823.llvm_s-modelsmodule_0010-5B",0.999727450080331
13,"823.llvm_s-etf_inst3_0005-2B",0.999756272501271
14,"823.llvm_s-modelsmodule_0004-5B",0.999805910388107
15,"823.llvm_s-dagcombiner_0002-1B",0.999847342672085
16,"823.llvm_s-matrix_free_0019-1B",0.999935056032212
17,"823.llvm_s-dagcombiner_0006-1B",0.999956897790293
18,"853.ns3_s-mobile_scenario-103B",0.999991210027601
19,"817.flac_s-compiler_puzzles_lvl7-189B",1
20,"817.flac_s-compiler_puzzles_lvl7-279B",1
21,"817.flac_s-compiler_puzzles_lvl8-2280B",1
22,"817.flac_s-designing_motherboard_lvl6-637B",1
23,"817.flac_s-designing_motherboard_lvl6-823B",1
24,"817.flac_s-designing_motherboard_lvl6-957B",1
25,"817.flac_s-designing_motherboard_lvl7-122B",1
26,"817.flac_s-designing_motherboard_lvl7-408B",1
27,"817.flac_s-designing_motherboard_lvl7-452B",1
28,"817.flac_s-designing_motherboard_lvl7-456B",1
29,"817.flac_s-designing_motherboard_lvl8-1550B",1
30,"817.flac_s-designing_motherboard_lvl8-512B",1
31,"817.flac_s-git_etiquette_lvl6-241B",1
32,"817.flac_s-git_etiquette_lvl6-298B",1
33,"817.flac_s-git_etiquette_lvl6-329B",1
34,"817.flac_s-git_etiquette_lvl8-351B",1
35,"817.flac_s-git_etiquette_lvl8-49B",1
36,"817.flac_s-learning_lvl6-548B",1
37,"817.flac_s-learning_lvl7-132B",1
38,"817.flac_s-learning_lvl7-1542B",1
39,"817.flac_s-learning_lvl8-1442B",1
40,"817.flac_s-working_for_team_lvl6-303B",1
41,"817.flac_s-working_for_team_lvl6-371B",1
42,"817.flac_s-working_for_team_lvl7-100B",1
43,"817.flac_s-working_for_team_lvl8-200B",1
44,"817.flac_s-working_for_team_lvl8-809B",1
45,"835.gem5_s-bwaves_match-71B",1
46,"835.gem5_s-bwaves_o3cpu-153B",1
47,"838.diamond_s-crap_ultra-2B",1
48,"846.minizinc_s-pennies_7_8-1421B",1
