"category","ExpName","n","geomean"
"GEOMEAN","Pythia",146,1.15050361906482
"GEOMEAN","Stride+Pythia",146,1.1624367599895
"GEOMEAN","Stride+Pythia+Hermes-Core",146,1.18691693839281
"GEOMEAN","Stride+Pythia+Hermes-UnC",146,1.18470713795642
"GEOMEAN","Stride+Pythia+XPT",146,1.16184908388243
"specrate-fp","Pythia",30,1.08104993544291
"specrate-fp","Stride+Pythia",30,1.08547775432196
"specrate-fp","Stride+Pythia+Hermes-Core",30,1.0999353789831
"specrate-fp","Stride+Pythia+Hermes-UnC",30,1.0970372571591
"specrate-fp","Stride+Pythia+XPT",30,1.08405588423471
"specrate-int","Pythia",28,1.20326943984818
"specrate-int","Stride+Pythia",28,1.22977695104236
"specrate-int","Stride+Pythia+Hermes-Core",28,1.27589291477092
"specrate-int","Stride+Pythia+Hermes-UnC",28,1.27292650029295
"specrate-int","Stride+Pythia+XPT",28,1.23293460723101
"specspeed-fp","Pythia",32,1.25744087039902
"specspeed-fp","Stride+Pythia",32,1.27554804428484
"specspeed-fp","Stride+Pythia+Hermes-Core",32,1.2873446015483
"specspeed-fp","Stride+Pythia+Hermes-UnC",32,1.28577142708545
"specspeed-fp","Stride+Pythia+XPT",32,1.2714688049694
"specspeed-int","Pythia",56,1.10555549326193
"specspeed-int","Stride+Pythia",56,1.11181671208933
"specspeed-int","Stride+Pythia+Hermes-Core",56,1.1383441399234
"specspeed-int","Stride+Pythia+Hermes-UnC",56,1.13654406520029
"specspeed-int","Stride+Pythia+XPT",56,1.11174110125482
