"category","ExpName","n","geomean","gsd","lo","hi"
"specrate-fp","XPT",30,1.0069638490083,1.00696753060002,0.999996343882396,1.01397990043938
"specrate-fp","Hermes-UnC",30,1.03072218229921,1.02364334071609,1.00691533984695,1.05509189803894
"specrate-fp","Hermes-NoPC",30,1.0258914954773,1.03113424680209,0.994915549220625,1.05783185448965
"specrate-fp","Hermes-Core",30,1.04341255843432,1.03293172228469,1.0101466882307,1.07777393103704
"specrate-fp","Pythia",30,1.08104993544291,1.06672741431839,1.01342659889703,1.15318560238407
"specrate-fp","XPT+Pythia",30,1.07924192283452,1.06727891535467,1.01120888580083,1.15185214880812
"specrate-fp","Hermes-UnC+Pythia",30,1.08933729478576,1.06555952038848,1.0223148251621,1.1607537253732
"specrate-fp","Hermes-NoPC+Pythia",30,1.07736086107466,1.06880839887119,1.00800186657636,1.1514923369317
"specrate-fp","Hermes-Core+Pythia",30,1.09240760132247,1.06542047553691,1.02533002359652,1.16387342608112
"specrate-int","XPT",28,1.01831151048565,1.01530358206079,1.00296259018288,1.03389532424982
"specrate-int","Hermes-UnC",28,1.09174521966029,1.03653886287584,1.05326028648003,1.1316363485368
"specrate-int","Hermes-NoPC",28,1.09076811675353,1.0379668594925,1.05086988739395,1.13218115658121
"specrate-int","Hermes-Core",28,1.08868917769838,1.03401900037446,1.0528715403722,1.12572529524218
"specrate-int","Pythia",28,1.20326943984818,1.17381690523158,1.02509125101652,1.41241801004233
"specrate-int","XPT+Pythia",28,1.20265985938603,1.17408372455515,1.024339094592,1.41202336708093
"specrate-int","Hermes-UnC+Pythia",28,1.24761645835556,1.16541189739571,1.07053691586944,1.45398706395427
"specrate-int","Hermes-NoPC+Pythia",28,1.24059441449131,1.1654011650822,1.06452134394753,1.44579017604264
"specrate-int","Hermes-Core+Pythia",28,1.24842265379138,1.16372712489421,1.07277954349038,1.45282330554945
"specspeed-fp","XPT",32,1.01918170101625,1.0206157085968,0.998594958348695,1.04019285397159
"specspeed-fp","Hermes-UnC",32,1.05327362542438,1.03360903182884,1.01902517585469,1.08867313222574
"specspeed-fp","Hermes-NoPC",32,1.04235370850116,1.04138858149786,1.00092676933514,1.08549524991505
"specspeed-fp","Hermes-Core",32,1.08059272301152,1.0516083076006,1.0275619878632,1.13636028465167
"specspeed-fp","Pythia",32,1.25744087039902,1.25248366625818,1.00395789923205,1.57492415146024
"specspeed-fp","XPT+Pythia",32,1.25100275374137,1.25279489437783,0.998569485999265,1.5672498627398
"specspeed-fp","Hermes-UnC+Pythia",32,1.26149890829195,1.25170638973523,1.00782333511838,1.57902624415304
"specspeed-fp","Hermes-NoPC+Pythia",32,1.25060977451647,1.25669284408754,0.995159461916497,1.57163235438079
"specspeed-fp","Hermes-Core+Pythia",32,1.27026287641777,1.24649956811896,1.01906403251681,1.5833821268523
"specspeed-int","XPT",45,1.01379621693684,1.01325327880797,1.00053583653784,1.02723234085437
"specspeed-int","Hermes-UnC",45,1.05643120649004,1.02785692403969,1.02779986375735,1.08586013036239
"specspeed-int","Hermes-NoPC",45,1.05281108890244,1.0343520714352,1.01784597138345,1.08897733063619
"specspeed-int","Hermes-Core",45,1.05699663738853,1.02685496523305,1.02935338794281,1.08538224533705
"specspeed-int","Pythia",45,1.10421073934434,1.10838038555435,0.996238072899568,1.22388552500773
"specspeed-int","XPT+Pythia",45,1.10485873165923,1.10822552289592,0.996961998106757,1.22443264561917
"specspeed-int","Hermes-UnC+Pythia",45,1.12548659914657,1.10922715377327,1.01465835497986,1.24842029698131
"specspeed-int","Hermes-NoPC+Pythia",45,1.12375773964822,1.11110563234178,1.01138695272364,1.2486135539108
"specspeed-int","Hermes-Core+Pythia",45,1.12724111062765,1.1109193065831,1.01469215986061,1.25227391297043
"GEOMEAN","XPT",135,1.01448061099232,1.01530720153144,0.999185871490048,1.03000947015452
"GEOMEAN","Hermes-UnC",135,1.05710268449692,1.03586892679041,1.02049849856227,1.09501982329709
"GEOMEAN","Hermes-NoPC",135,1.05199426136938,1.04176071010203,1.00982332235044,1.09592628874743
"GEOMEAN","Hermes-Core",135,1.06600483648468,1.03992719538856,1.02507641036003,1.10856741987615
"GEOMEAN","Pythia",135,1.1537774105719,1.17134733157176,0.985000246701993,1.35147409110117
"GEOMEAN","XPT+Pythia",135,1.15205004116493,1.1708362604685,0.983954870601585,1.34886196207013
"GEOMEAN","Hermes-UnC+Pythia",135,1.17277204566631,1.16996648786675,1.00239798133421,1.37210399133652
"GEOMEAN","Hermes-NoPC+Pythia",135,1.1655294775532,1.1721612370635,0.994342280481048,1.36618847424273
"GEOMEAN","Hermes-Core+Pythia",135,1.17620122301737,1.16888485314616,1.00625927340192,1.374843793837
