"category","ExpName","n","geomean","gsd","lo","hi"
"specrate-fp","Pythia",30,1.08104993544291,1.06672741431839,1.01342659889703,1.15318560238407
"specrate-fp","XPT",30,1.0069638490083,1.00696753060002,0.999996343882396,1.01397990043938
"specrate-fp","XPT+Pythia",30,1.07924192283452,1.06727891535467,1.01120888580083,1.15185214880812
"specrate-fp","Hermes-UnC",30,1.03072218229921,1.02364334071609,1.00691533984695,1.05509189803894
"specrate-fp","Hermes-UnC+Pythia",30,1.08933729478576,1.06555952038848,1.0223148251621,1.1607537253732
"specrate-int","Pythia",28,1.20326943984818,1.17381690523158,1.02509125101652,1.41241801004233
"specrate-int","XPT",28,1.01831151048565,1.01530358206079,1.00296259018288,1.03389532424982
"specrate-int","XPT+Pythia",28,1.20265985938603,1.17408372455515,1.024339094592,1.41202336708093
"specrate-int","Hermes-UnC",28,1.09174521966029,1.03653886287584,1.05326028648003,1.1316363485368
"specrate-int","Hermes-UnC+Pythia",28,1.24761645835556,1.16541189739571,1.07053691586944,1.45398706395427
"specspeed-fp","Pythia",32,1.25744087039902,1.25248366625818,1.00395789923205,1.57492415146024
"specspeed-fp","XPT",32,1.01918170101625,1.0206157085968,0.998594958348695,1.04019285397159
"specspeed-fp","XPT+Pythia",32,1.25100275374137,1.25279489437783,0.998569485999265,1.5672498627398
"specspeed-fp","Hermes-UnC",32,1.05327362542438,1.03360903182884,1.01902517585469,1.08867313222574
"specspeed-fp","Hermes-UnC+Pythia",32,1.26149890829195,1.25170638973523,1.00782333511838,1.57902624415304
"specspeed-int","Pythia",56,1.10555549326193,1.09875417665013,1.00619002571852,1.21473371574004
"specspeed-int","XPT",56,1.01383977173108,1.01216939858041,1.00165029011252,1.02617759200995
"specspeed-int","XPT+Pythia",56,1.10667778955409,1.09883897949928,1.0071337204095,1.21606069290813
"specspeed-int","Hermes-UnC",56,1.05955473273785,1.02683793107018,1.03186169957081,1.08799098962015
"specspeed-int","Hermes-UnC+Pythia",56,1.12963698459684,1.1002583554716,1.02670157329788,1.24289253095241
"GEOMEAN","Pythia",146,1.15050361906482,1.1651535034035,0.987426648681154,1.34051332243178
"GEOMEAN","XPT",146,1.01444574712197,1.01481144775732,0.999639636864403,1.0294711573081
"GEOMEAN","XPT+Pythia",146,1.14915023738626,1.16463308838515,0.986705812196731,1.33833838998569
"GEOMEAN","Hermes-UnC",146,1.05824975709181,1.03502951260079,1.02243437912477,1.09531973029263
"GEOMEAN","Hermes-UnC+Pythia",146,1.17079306316506,1.16371350068256,1.00608359572898,1.36246769411067
