"workload","short","ExpName","n","geomean"
"706.stockfish_r","stockfish_r","Hermes-UnC",3,1
"706.stockfish_r","stockfish_r","Hermes-UnC+Pythia",3,1
"706.stockfish_r","stockfish_r","Pythia",3,1
"706.stockfish_r","stockfish_r","XPT",3,1
"706.stockfish_r","stockfish_r","XPT+Pythia",3,1
"707.ntest_r","ntest_r","Hermes-UnC",4,1.00067930597006
"707.ntest_r","ntest_r","Hermes-UnC+Pythia",4,1.00133872548
"707.ntest_r","ntest_r","Pythia",4,1.00105742519923
"707.ntest_r","ntest_r","XPT",4,1.00000105901675
"707.ntest_r","ntest_r","XPT+Pythia",4,1.00105742519923
"708.sqlite_r","sqlite_r","Hermes-UnC",12,1.04349541375196
"708.sqlite_r","sqlite_r","Hermes-UnC+Pythia",12,1.1322817386177
"708.sqlite_r","sqlite_r","Pythia",12,1.10931585320621
"708.sqlite_r","sqlite_r","XPT",12,1.00880021471987
"708.sqlite_r","sqlite_r","XPT+Pythia",12,1.10937973688287
"710.omnetpp_r","omnetpp_r","Hermes-UnC",24,1.00099165391649
"710.omnetpp_r","omnetpp_r","Hermes-UnC+Pythia",24,0.997362725061946
"710.omnetpp_r","omnetpp_r","Pythia",24,0.996813485806701
"710.omnetpp_r","omnetpp_r","XPT",24,1.0000008789844
"710.omnetpp_r","omnetpp_r","XPT+Pythia",24,0.996813485806701
"714.cpython_r","cpython_r","Hermes-UnC",9,1.00028555727366
"714.cpython_r","cpython_r","Hermes-UnC+Pythia",9,1.00070639609834
"714.cpython_r","cpython_r","Pythia",9,1.00070721157543
"714.cpython_r","cpython_r","XPT",9,1.00015018001717
"714.cpython_r","cpython_r","XPT+Pythia",9,1.00070289622672
"721.gcc_r","gcc_r","Hermes-UnC",7,1.04051633562779
"721.gcc_r","gcc_r","Hermes-UnC+Pythia",7,1.13792553409272
"721.gcc_r","gcc_r","Pythia",7,1.12371275687687
"721.gcc_r","gcc_r","XPT",7,1.01429400731575
"721.gcc_r","gcc_r","XPT+Pythia",7,1.12741728351745
"723.llvm_r","llvm_r","Hermes-UnC",6,1.0104013669143
"723.llvm_r","llvm_r","Hermes-UnC+Pythia",6,1.01548041441843
"723.llvm_r","llvm_r","Pythia",6,1.00826882030789
"723.llvm_r","llvm_r","XPT",6,1.00140157905657
"723.llvm_r","llvm_r","XPT+Pythia",6,1.00829837869291
"727.cppcheck_r","cppcheck_r","Hermes-UnC",12,1.07431163819073
"727.cppcheck_r","cppcheck_r","Hermes-UnC+Pythia",12,1.11472188847241
"727.cppcheck_r","cppcheck_r","Pythia",12,1.08937939432579
"727.cppcheck_r","cppcheck_r","XPT",12,1.01193443204721
"727.cppcheck_r","cppcheck_r","XPT+Pythia",12,1.0890888964925
"729.abc_r","abc_r","Hermes-UnC",26,1.02030426200464
"729.abc_r","abc_r","Hermes-UnC+Pythia",26,1.06502974570204
"729.abc_r","abc_r","Pythia",26,1.05686271583167
"729.abc_r","abc_r","XPT",26,1.00656269708754
"729.abc_r","abc_r","XPT+Pythia",26,1.05635314017864
"734.vpr_r","vpr_r","Hermes-UnC",11,1.02206860082265
"734.vpr_r","vpr_r","Hermes-UnC+Pythia",11,1.06748205518834
"734.vpr_r","vpr_r","Pythia",11,1.06133092561164
"734.vpr_r","vpr_r","XPT",11,1.00419316469012
"734.vpr_r","vpr_r","XPT+Pythia",11,1.06042005449479
"735.gem5_r","gem5_r","Hermes-UnC",4,1.00090671386123
"735.gem5_r","gem5_r","Hermes-UnC+Pythia",4,1.00093136523962
"735.gem5_r","gem5_r","Pythia",4,1.0004005933192
"735.gem5_r","gem5_r","XPT",4,1.00020064533118
"735.gem5_r","gem5_r","XPT+Pythia",4,1.00045147384316
"750.sealcrypto_r","sealcrypto_r","Hermes-UnC",2,1.01239420973382
"750.sealcrypto_r","sealcrypto_r","Hermes-UnC+Pythia",2,1.03329584340322
"750.sealcrypto_r","sealcrypto_r","Pythia",2,1.03294521302478
"750.sealcrypto_r","sealcrypto_r","XPT",2,1.00627385104917
"750.sealcrypto_r","sealcrypto_r","XPT+Pythia",2,1.03293871986962
"753.ns3_r","ns3_r","Hermes-UnC",24,1.00065022235059
"753.ns3_r","ns3_r","Hermes-UnC+Pythia",24,1.00023399541659
"753.ns3_r","ns3_r","Pythia",24,0.999897050146497
"753.ns3_r","ns3_r","XPT",24,1.00006931589384
"753.ns3_r","ns3_r","XPT+Pythia",24,0.999912998969527
"GEOMEAN","GEOMEAN","Hermes-UnC",144,1.01722986431738
"GEOMEAN","GEOMEAN","Hermes-UnC+Pythia",144,1.04233592080521
"GEOMEAN","GEOMEAN","Pythia",144,1.03604496558557
"GEOMEAN","GEOMEAN","XPT",144,1.00413319957459
"GEOMEAN","GEOMEAN","XPT+Pythia",144,1.03619056388852
