"category","ExpName","n","geomean"
"GEOMEAN","Hermes-Big",146,1.0580043191016
"GEOMEAN","Hermes-Big+Pythia",146,1.17126925754088
"GEOMEAN","Hermes-Lite",146,1.05811052589855
"GEOMEAN","Hermes-Lite+Pythia",146,1.16912256714147
"GEOMEAN","Hermes-Normal",146,1.05824975709181
"GEOMEAN","Hermes-Normal+Pythia",146,1.17079306316506
"GEOMEAN","Pythia",146,1.15050361906482
"specrate-fp","Hermes-Big",30,1.02931276656294
"specrate-fp","Hermes-Big+Pythia",30,1.09088169848149
"specrate-fp","Hermes-Lite",30,1.03068417593654
"specrate-fp","Hermes-Lite+Pythia",30,1.08835228165002
"specrate-fp","Hermes-Normal",30,1.03072218229921
"specrate-fp","Hermes-Normal+Pythia",30,1.08933729478576
"specrate-fp","Pythia",30,1.08104993544291
"specrate-int","Hermes-Big",28,1.09200434556409
"specrate-int","Hermes-Big+Pythia",28,1.24656907876798
"specrate-int","Hermes-Lite",28,1.0912036481985
"specrate-int","Hermes-Lite+Pythia",28,1.24436895153025
"specrate-int","Hermes-Normal",28,1.09174521966029
"specrate-int","Hermes-Normal+Pythia",28,1.24761645835556
"specrate-int","Pythia",28,1.20326943984818
"specspeed-fp","Hermes-Big",32,1.05341333446037
"specspeed-fp","Hermes-Big+Pythia",32,1.26130275455936
"specspeed-fp","Hermes-Lite",32,1.05324290527304
"specspeed-fp","Hermes-Lite+Pythia",32,1.25886500200524
"specspeed-fp","Hermes-Normal",32,1.05327362542438
"specspeed-fp","Hermes-Normal+Pythia",32,1.26149890829195
"specspeed-fp","Pythia",32,1.25744087039902
"specspeed-int","Hermes-Big",56,1.05948464371344
"specspeed-int","Hermes-Big+Pythia",56,1.13055236340614
"specspeed-int","Hermes-Lite",56,1.05949272392809
"specspeed-int","Hermes-Lite+Pythia",56,1.12880091860564
"specspeed-int","Hermes-Normal",56,1.05955473273785
"specspeed-int","Hermes-Normal+Pythia",56,1.12963698459684
"specspeed-int","Pythia",56,1.10555549326193
