"workload","short","ExpName","n","geomean"
"801.xz_s","801.xz_s","Hermes-UnC",4,1.00783371994554
"801.xz_s","801.xz_s","Hermes-UnC+Pythia",4,1.01219785076869
"801.xz_s","801.xz_s","Pythia",4,1.0073482105569
"801.xz_s","801.xz_s","XPT",4,1.00008270356504
"801.xz_s","801.xz_s","XPT+Pythia",4,1.0073119361192
"817.flac_s","817.flac_s","Hermes-UnC",42,1.00000328522444
"817.flac_s","817.flac_s","Hermes-UnC+Pythia",42,1.00001417715601
"817.flac_s","817.flac_s","Pythia",42,1.00001263130174
"817.flac_s","817.flac_s","XPT",42,1.00000019055802
"817.flac_s","817.flac_s","XPT+Pythia",42,1.00001263130174
"821.gcc_s","821.gcc_s","Hermes-UnC",57,1.01461476211213
"821.gcc_s","821.gcc_s","Hermes-UnC+Pythia",57,1.0434457459044
"821.gcc_s","821.gcc_s","Pythia",57,1.03831640640364
"821.gcc_s","821.gcc_s","XPT",57,1.00309709836331
"821.gcc_s","821.gcc_s","XPT+Pythia",57,1.03883218315768
"823.llvm_s","823.llvm_s","Hermes-UnC",87,1.02776814625386
"823.llvm_s","823.llvm_s","Hermes-UnC+Pythia",87,1.04291482107227
"823.llvm_s","823.llvm_s","Pythia",87,1.02961501064218
"823.llvm_s","823.llvm_s","XPT",87,1.00575919943581
"823.llvm_s","823.llvm_s","XPT+Pythia",87,1.03047894501735
"829.abc_s","829.abc_s","Hermes-UnC",8,1.04836129233365
"829.abc_s","829.abc_s","Hermes-UnC+Pythia",8,1.10758039139305
"829.abc_s","829.abc_s","Pythia",8,1.08841969239525
"829.abc_s","829.abc_s","XPT",8,1.01157535561411
"829.abc_s","829.abc_s","XPT+Pythia",8,1.08919076233585
"834.vpr_s","834.vpr_s","Hermes-UnC",12,1.02428081705347
"834.vpr_s","834.vpr_s","Hermes-UnC+Pythia",12,1.06545941134282
"834.vpr_s","834.vpr_s","Pythia",12,1.05595457227244
"834.vpr_s","834.vpr_s","XPT",12,1.00554668564548
"834.vpr_s","834.vpr_s","XPT+Pythia",12,1.05598601055422
"835.gem5_s","835.gem5_s","Hermes-UnC",4,1.0001180370847
"835.gem5_s","835.gem5_s","Hermes-UnC+Pythia",4,1.00020426141739
"835.gem5_s","835.gem5_s","Pythia",4,1.00014746033924
"835.gem5_s","835.gem5_s","XPT",4,1.00000806983749
"835.gem5_s","835.gem5_s","XPT+Pythia",4,1.00015552998533
"838.diamond_s","838.diamond_s","Hermes-UnC",1,1.00002014545015
"838.diamond_s","838.diamond_s","Hermes-UnC+Pythia",1,1.00013094542598
"838.diamond_s","838.diamond_s","Pythia",1,1.00013094542598
"838.diamond_s","838.diamond_s","XPT",1,1.00001007272507
"838.diamond_s","838.diamond_s","XPT+Pythia",1,1.00013094542598
"846.minizinc_s","846.minizinc_s","Hermes-UnC",15,1.01268148752168
"846.minizinc_s","846.minizinc_s","Hermes-UnC+Pythia",15,1.02344681325003
"846.minizinc_s","846.minizinc_s","Pythia",15,1.01882248755907
"846.minizinc_s","846.minizinc_s","XPT",15,1.00336035669035
"846.minizinc_s","846.minizinc_s","XPT+Pythia",15,1.01902609831495
"853.ns3_s","853.ns3_s","Hermes-UnC",26,1.00231975494236
"853.ns3_s","853.ns3_s","Hermes-UnC+Pythia",26,0.993653242615674
"853.ns3_s","853.ns3_s","Pythia",26,0.992149357527428
"853.ns3_s","853.ns3_s","XPT",26,1.00039447837164
"853.ns3_s","853.ns3_s","XPT+Pythia",26,0.991655719526463
"854.graph500_s","854.graph500_s","Hermes-UnC",3,1.01145027461241
"854.graph500_s","854.graph500_s","Hermes-UnC+Pythia",3,0.994669124780864
"854.graph500_s","854.graph500_s","Pythia",3,1.01246487578781
"854.graph500_s","854.graph500_s","XPT",3,1.01021311381067
"854.graph500_s","854.graph500_s","XPT+Pythia",3,1.01246487578781
"GEOMEAN","GEOMEAN","Hermes-UnC",259,1.01348707612589
"GEOMEAN","GEOMEAN","Hermes-UnC+Pythia",259,1.02522837297258
"GEOMEAN","GEOMEAN","Pythia",259,1.02175356051371
"GEOMEAN","GEOMEAN","XPT",259,1.00363264516401
"GEOMEAN","GEOMEAN","XPT+Pythia",259,1.02191589513133
