TraceName,ExpName,dram_read_reqs,Filter
708.sqlite_r-cte_size2000-233B,bw3200_nopf,1646766,1
708.sqlite_r-cte_size2000-233B,bw3200_pythia,1647029,1
708.sqlite_r-cte_size2000-233B,bw3200_xpt,1646767,1
708.sqlite_r-cte_size2000-233B,bw3200_xpt_pythia,1647029,1
708.sqlite_r-cte_size2000-233B,bw3200_normal,1646767,1
708.sqlite_r-cte_size2000-233B,bw3200_normal_pythia,1647028,1
708.sqlite_r-fp_size1000-424B,bw3200_nopf,3489652,1
708.sqlite_r-fp_size1000-424B,bw3200_pythia,5610883,1
708.sqlite_r-fp_size1000-424B,bw3200_xpt,3489652,1
708.sqlite_r-fp_size1000-424B,bw3200_xpt_pythia,5610883,1
708.sqlite_r-fp_size1000-424B,bw3200_normal,3501892,1
708.sqlite_r-fp_size1000-424B,bw3200_normal_pythia,5622155,1
708.sqlite_r-main_size2000-136B,bw3200_nopf,1889578,1
708.sqlite_r-main_size2000-136B,bw3200_pythia,3000126,1
708.sqlite_r-main_size2000-136B,bw3200_xpt,1885907,1
708.sqlite_r-main_size2000-136B,bw3200_xpt_pythia,2992479,1
708.sqlite_r-main_size2000-136B,bw3200_normal,2016389,1
708.sqlite_r-main_size2000-136B,bw3200_normal_pythia,3083303,1
708.sqlite_r-main_size2000-499B,bw3200_nopf,1584371,1
708.sqlite_r-main_size2000-499B,bw3200_pythia,2694453,1
708.sqlite_r-main_size2000-499B,bw3200_xpt,1584249,1
708.sqlite_r-main_size2000-499B,bw3200_xpt_pythia,2694453,1
708.sqlite_r-main_size2000-499B,bw3200_normal,1774685,1
708.sqlite_r-main_size2000-499B,bw3200_normal_pythia,2840024,1
708.sqlite_r-main_size2000-556B,bw3200_nopf,1565377,1
708.sqlite_r-main_size2000-556B,bw3200_pythia,2668103,1
708.sqlite_r-main_size2000-556B,bw3200_xpt,1565240,1
708.sqlite_r-main_size2000-556B,bw3200_xpt_pythia,2668103,1
708.sqlite_r-main_size2000-556B,bw3200_normal,1755879,1
708.sqlite_r-main_size2000-556B,bw3200_normal_pythia,2819988,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_nopf,1380208,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_pythia,1535723,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_xpt,1395522,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_xpt_pythia,1534111,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_normal,1408503,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_normal_pythia,1555616,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_nopf,1836001,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_pythia,2040216,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_xpt,1840534,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_xpt_pythia,2036324,1
