TraceName,gap_pp
708.sqlite_r-cte_size2000-233B,0.0208
708.sqlite_r-fp_size1000-424B,-0.0223
708.sqlite_r-main_size2000-136B,0.0228
708.sqlite_r-main_size2000-499B,-0.0102
708.sqlite_r-main_size2000-556B,-0.0571
709.cactus_r-shifted_gauge_wave-19B,0.0554
709.cactus_r-shifted_gauge_wave-26B,0.4075
709.cactus_r-shifted_gauge_wave-27B,5.079
709.cactus_r-shifted_gauge_wave-824B,0.0293
709.cactus_r-shifted_gauge_wave-8B,0.5459
721.gcc_r-gcc_pp_O2_fpic-309B,0.9787
721.gcc_r-ref32_O3_inline12000-113B,1.9512
721.gcc_r-ref32_O3_inline12000-390B,1.822
721.gcc_r-ref32_O3_inline12000-41B,0.6837
722.palm_r-atmos-1670B,-0.0764
722.palm_r-atmos-334B,0.2805
723.llvm_r-codegen-388B,0.2872
727.cppcheck_r-738_diamond-320B,1.1688
727.cppcheck_r-738_diamond-4B,-1.058
727.cppcheck_r-738_diamond-63B,0.5258
727.cppcheck_r-747_dealii-218B,0.4518
727.cppcheck_r-747_dealii-21B,1.6774
727.cppcheck_r-747_dealii-3B,-0.5581
727.cppcheck_r-770_7z-38B,2.1044
727.cppcheck_r-770_7z-404B,-2.1123
727.cppcheck_r-770_7z-57B,0.8114
729.abc_r-des_system90-103B,0.3891
729.abc_r-des_system90-32B,0.1371
729.abc_r-des_system90-75B,1.7708
729.abc_r-des_system90-77B,0.2384
729.abc_r-des_system90-88B,0.1549
729.abc_r-mcml-19B,2.5157
734.vpr_r-jpeg_place-76B,0.9245
734.vpr_r-jpeg_route-49B,0.3415
734.vpr_r-smithwaterman_place-213B,1.2597
736.ocio_r-heavy_transform-65B,0.1306
736.ocio_r-lut1d_halfdom-43B,0.1278
736.ocio_r-lut1d_halfdom-6B,0.2027
736.ocio_r-mntr_srgb_8k-35B,0.3553
737.gmsh_r-choi-225B,-0.1401
737.gmsh_r-gasdis-121B,0.7097
737.gmsh_r-gasdis-149B,-0.1361
737.gmsh_r-mediterranean-149B,1.2063
737.gmsh_r-mediterranean-160B,0.7345
737.gmsh_r-p19-70B,-0.177
737.gmsh_r-projection-6B,-3.7524
737.gmsh_r-spec_hxt-26B,0.6129
737.gmsh_r-spec_hxt-62B,0.4273
737.gmsh_r-torus-33B,0.0114
737.gmsh_r-torus-74B,-0.1061
749.fotonik3d_r-default-128B,2.9228
749.fotonik3d_r-default-130B,3.4248
749.fotonik3d_r-default-45B,4.6199
749.fotonik3d_r-default-599B,4.2433
749.fotonik3d_r-default-651B,3.5107
765.roms_r-benchmark2-871B,1.5539
765.roms_r-benchmark2-900B,1.1898
765.roms_r-benchmark2-985B,4.267
800.pot3d_s-pot3d_n1-1067B,2.9651
800.pot3d_s-pot3d_n1-1519B,6.2469
800.pot3d_s-pot3d_n1-2026B,2.6498
800.pot3d_s-pot3d_n1-2544B,2.2319
809.cactus_s-shifted_gauge_wave-1690B,-0.0082
809.cactus_s-shifted_gauge_wave-202B,-0.1691
809.cactus_s-shifted_gauge_wave-6972B,0.0041
811.tealeaf_s-default-15369B,0.107
811.tealeaf_s-default-16461B,0.1475
811.tealeaf_s-default-33315B,0.1874
811.tealeaf_s-default-34631B,-0.0363
811.tealeaf_s-default-35333B,1.0624
820.cloverleaf_s-default-11714B,0.1003
820.cloverleaf_s-default-11785B,0.0068
820.cloverleaf_s-default-12184B,0.5522
820.cloverleaf_s-default-2345B,1.2975
821.gcc_s-lz4_0002-39B,0.5264
821.gcc_s-lz4hc_0007-10B,0.6299
821.gcc_s-lz4hc_0009-12B,0.3015
821.gcc_s-lz4hc_0009-6B,0.2249
821.gcc_s-lz4hc_0010-14B,0.7249
821.gcc_s-lz4hc_0010-23B,0.4866
821.gcc_s-lz4hc_0018-20B,0.1808
821.gcc_s-lz4hc_0018-31B,0.0434
821.gcc_s-unicodeobject_0006-1B,0.459
821.gcc_s-unicodeobject_0015-26B,0.641
822.palm_s-atmos-2602B,-0.1635
822.palm_s-atmos-35579B,-0.1629
822.palm_s-atmos-4359B,-0.1584
822.palm_s-atmos-6227B,-0.1639
823.llvm_s-dagcombiner_0002-14B,-0.6946
823.llvm_s-dagcombiner_0002-4B,-2.2291
823.llvm_s-dagcombiner_0006-4B,-2.1557
823.llvm_s-etf_inst3_0005-11B,0.5165
823.llvm_s-etf_inst3_0005-17B,0.1541
823.llvm_s-etf_inst3_0011-10B,-1.5069
823.llvm_s-etf_inst3_0011-14B,-0.7351
823.llvm_s-etf_inst3_0011-8B,-0.5842
823.llvm_s-generic_cpu_exec_6_0012-25B,-1.9773
823.llvm_s-grid_tools_0008-19B,-0.2432
823.llvm_s-grid_tools_dof_handlers_0009-11B,-1.0618
823.llvm_s-insn_recog_0005-10B,-0.1622
823.llvm_s-insn_recog_0005-14B,0.9698
823.llvm_s-insn_recog_0005-15B,-0.2426
823.llvm_s-insn_recog_0005-26B,-0.1362
823.llvm_s-inst_constrs_3_0017-27B,-0.3316
823.llvm_s-inst_constrs_3_0017-35B,-0.7826
823.llvm_s-matrix_free_0013-7B,-0.1063
823.llvm_s-matrix_free_0019-11B,0.2067
823.llvm_s-matrix_free_0019-7B,-0.3309
823.llvm_s-modelsmodule_0004-24B,-1.5912
823.llvm_s-modelsmodule_0010-23B,-1.5293
823.llvm_s-particle_handler_0015-13B,-0.4922
823.llvm_s-particle_handler_0015-5B,-0.0191
823.llvm_s-particle_handler_0018-13B,-0.217
823.llvm_s-particle_handler_0018-5B,0.1492
823.llvm_s-particle_handler_0018-8B,-1.186
823.llvm_s-passbuilderpipelines_0003-2B,-0.674
823.llvm_s-selectiondagbuilder_0007-4B,-0.4255
823.llvm_s-standardinstrumentations_0014-2B,-0.7199
829.abc_s-bitcoin-289B,-0.2359
829.abc_s-bitcoin-359B,-0.0086
829.abc_s-bitcoin-645B,0.5035
829.abc_s-bitcoin-750B,-0.155
829.abc_s-ethernet_fraig-12B,0.0176
829.abc_s-ethernet_fraig-186B,0.7804
834.vpr_s-sparct1_place-411B,1.6578
834.vpr_s-wb_conmax_place-461B,0.0015
834.vpr_s-wb_conmax_route-461B,0.0098
846.minizinc_s-yumi_dynamic-118B,0.6625
846.minizinc_s-yumi_dynamic-119B,0.4742
846.minizinc_s-yumi_dynamic-256B,1.1505
846.minizinc_s-yumi_dynamic-40B,0.2951
849.fotonik3d_s-default-11846B,0.3869
849.fotonik3d_s-default-1927B,0.0373
849.fotonik3d_s-default-2571B,0.3768
849.fotonik3d_s-default-7623B,0.0611
853.ns3_s-tcp_validation-187B,0.7281
854.graph500_s-bfs-1217B,-0.0371
854.graph500_s-bfs-3313B,4.1467
865.roms_s-benchmark3-2365B,0.8088
865.roms_s-benchmark3-2540B,1.9655
865.roms_s-benchmark3-3753B,0.2436
865.roms_s-benchmark3-7363B,2.4203
867.nest_s-microcircuit-2574B,1.3741
867.nest_s-microcircuit-9846B,2.8144
881.neutron_s-rsbench_history-421B,0.0
881.neutron_s-xsbench_event_unionized-1137B,0.0855
