trace,workload,weight,nopref,pythia,xpt,xpt_pythia,hermes_unc,hermes_unc_pythia
708.sqlite_r-cte_size2000-233B,708.sqlite_r,0.311419,0.95908,1.8735,1.01779,1.8735,1.08686,1.88024
708.sqlite_r-fp_size1000-424B,708.sqlite_r,0.274583,0.45542,0.53765,0.45542,0.53765,0.50672,0.58416
708.sqlite_r-main_size2000-136B,708.sqlite_r,0.252014,0.83253,0.87649,0.83777,0.87707,0.8709,0.89493
708.sqlite_r-main_size2000-499B,708.sqlite_r,0.241657,1.06013,1.08084,1.06037,1.08084,1.12051,1.13798
708.sqlite_r-main_size2000-556B,708.sqlite_r,0.364787,1.06619,1.08667,1.06642,1.08667,1.12624,1.1432
709.cactus_r-shifted_gauge_wave-19B,709.cactus_r,0.47546,0.9107,0.92134,0.91208,0.92059,0.91334,0.92138
709.cactus_r-shifted_gauge_wave-26B,709.cactus_r,0.076687,0.81991,0.88586,0.8262,0.88576,0.83287,0.88673
709.cactus_r-shifted_gauge_wave-27B,709.cactus_r,0.06135,0.3031,0.33688,0.30579,0.336,0.31012,0.34114
709.cactus_r-shifted_gauge_wave-824B,709.cactus_r,0.312883,0.91043,0.92083,0.91194,0.92035,0.91312,0.92143
709.cactus_r-shifted_gauge_wave-8B,709.cactus_r,0.07362,0.69936,0.87013,0.70584,0.86993,0.71516,0.87209
721.gcc_r-gcc_pp_O2_fpic-309B,721.gcc_r,0.760776,0.54223,0.65904,0.55691,0.66305,0.57935,0.67
721.gcc_r-ref32_O3_inline12000-113B,721.gcc_r,0.102041,0.30794,0.38182,0.31408,0.38162,0.34398,0.40798
721.gcc_r-ref32_O3_inline12000-390B,721.gcc_r,0.071429,0.32134,0.43248,0.33124,0.43592,0.35993,0.45256
721.gcc_r-ref32_O3_inline12000-41B,721.gcc_r,0.058674,0.56878,0.71525,0.58172,0.71594,0.60448,0.72144
722.palm_r-atmos-1670B,722.palm_r,0.190916,1.30718,1.58345,1.34082,1.58341,1.37118,1.58655
