TraceName,ExpName,ipc,precision,recall,Filter
708.sqlite_r-cte_size2000-233B,bw200_nopf,0.77566,0,0,1
708.sqlite_r-cte_size2000-233B,bw200_pythia,0.92886,0,0,1
708.sqlite_r-cte_size2000-233B,bw200_normal,0.78561,100.0,100.0,1
708.sqlite_r-cte_size2000-233B,bw200_normal_pythia,0.92867,98.13,33.66,1
708.sqlite_r-cte_size2000-233B,bw200_xpt,0.7804,100.0,49.96,1
708.sqlite_r-cte_size2000-233B,bw200_xpt_pythia,0.92886,NaN,0.0,1
708.sqlite_r-cte_size2000-233B,bw400_nopf,0.94923,0,0,1
708.sqlite_r-cte_size2000-233B,bw400_pythia,1.71,0,0,1
708.sqlite_r-cte_size2000-233B,bw400_normal,1.05694,100.0,100.0,1
708.sqlite_r-cte_size2000-233B,bw400_normal_pythia,1.71163,99.98,65.27,1
708.sqlite_r-cte_size2000-233B,bw400_xpt,1.00083,100.0,49.96,1
708.sqlite_r-cte_size2000-233B,bw400_xpt_pythia,1.71,NaN,0.0,1
708.sqlite_r-cte_size2000-233B,bw800_nopf,0.95889,0,0,1
708.sqlite_r-cte_size2000-233B,bw800_pythia,1.8711,0,0,1
708.sqlite_r-cte_size2000-233B,bw800_normal,1.08653,100.0,100.0,1
708.sqlite_r-cte_size2000-233B,bw800_normal_pythia,1.8761,99.98,98.71,1
708.sqlite_r-cte_size2000-233B,bw800_xpt,1.01799,100.0,49.96,1
708.sqlite_r-cte_size2000-233B,bw800_xpt_pythia,1.8711,NaN,0.0,1
708.sqlite_r-cte_size2000-233B,bw1600_nopf,0.95906,0,0,1
708.sqlite_r-cte_size2000-233B,bw1600_pythia,1.873,0,0,1
708.sqlite_r-cte_size2000-233B,bw1600_normal,1.0868,100.0,100.0,1
708.sqlite_r-cte_size2000-233B,bw1600_normal_pythia,1.87952,99.98,98.72,1
708.sqlite_r-cte_size2000-233B,bw1600_xpt,1.01777,100.0,49.96,1
708.sqlite_r-cte_size2000-233B,bw1600_xpt_pythia,1.873,NaN,0.0,1
708.sqlite_r-cte_size2000-233B,bw3200_nopf,0.95908,0,0,1
708.sqlite_r-cte_size2000-233B,bw3200_pythia,1.8735,0,0,1
708.sqlite_r-cte_size2000-233B,bw3200_normal,1.08686,100.0,100.0,1
708.sqlite_r-cte_size2000-233B,bw3200_normal_pythia,1.88024,99.98,98.72,1
708.sqlite_r-cte_size2000-233B,bw3200_xpt,1.01779,100.0,49.96,1
708.sqlite_r-cte_size2000-233B,bw3200_xpt_pythia,1.8735,NaN,0.0,1
708.sqlite_r-cte_size2000-233B,bw6400_nopf,0.95908,0,0,1
708.sqlite_r-cte_size2000-233B,bw6400_pythia,1.87368,0,0,1
708.sqlite_r-cte_size2000-233B,bw6400_normal,1.08688,100.0,100.0,1
708.sqlite_r-cte_size2000-233B,bw6400_normal_pythia,1.8805,99.98,98.72,1
708.sqlite_r-cte_size2000-233B,bw6400_xpt,1.01793,100.0,49.96,1
708.sqlite_r-cte_size2000-233B,bw6400_xpt_pythia,1.87368,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw200_nopf,0.4163,0,0,1
708.sqlite_r-fp_size1000-424B,bw200_pythia,0.40277,0,0,1
708.sqlite_r-fp_size1000-424B,bw200_normal,0.44941,99.65,100.0,1
708.sqlite_r-fp_size1000-424B,bw200_normal_pythia,0.41558,99.15,99.96,1
708.sqlite_r-fp_size1000-424B,bw200_xpt,0.4163,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw200_xpt_pythia,0.40277,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw400_nopf,0.4453,0,0,1
708.sqlite_r-fp_size1000-424B,bw400_pythia,0.51953,0,0,1
708.sqlite_r-fp_size1000-424B,bw400_normal,0.49411,99.65,100.0,1
708.sqlite_r-fp_size1000-424B,bw400_normal_pythia,0.56326,99.18,99.57,1
708.sqlite_r-fp_size1000-424B,bw400_xpt,0.4453,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw400_xpt_pythia,0.51953,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw800_nopf,0.45118,0,0,1
708.sqlite_r-fp_size1000-424B,bw800_pythia,0.53107,0,0,1
708.sqlite_r-fp_size1000-424B,bw800_normal,0.50142,99.65,100.0,1
708.sqlite_r-fp_size1000-424B,bw800_normal_pythia,0.57735,99.56,97.7,1
708.sqlite_r-fp_size1000-424B,bw800_xpt,0.45118,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw800_xpt_pythia,0.53107,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw1600_nopf,0.454,0,0,1
708.sqlite_r-fp_size1000-424B,bw1600_pythia,0.53534,0,0,1
708.sqlite_r-fp_size1000-424B,bw1600_normal,0.50495,99.65,100.0,1
708.sqlite_r-fp_size1000-424B,bw1600_normal_pythia,0.58182,99.54,97.7,1
708.sqlite_r-fp_size1000-424B,bw1600_xpt,0.454,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw1600_xpt_pythia,0.53534,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw3200_nopf,0.45542,0,0,1
708.sqlite_r-fp_size1000-424B,bw3200_pythia,0.53765,0,0,1
708.sqlite_r-fp_size1000-424B,bw3200_normal,0.50672,99.65,100.0,1
