TraceName,ExpName,ipc,precision,recall,Filter
706.stockfish_r-pos_1to6_classical-1B,proj_nopf,0.3304,0,0,1
706.stockfish_r-pos_1to6_classical-1B,proj_pythia,0.3304,0,0,1
706.stockfish_r-pos_1to6_classical-1B,proj_normal,0.3304,NaN,NaN,1
706.stockfish_r-pos_1to6_classical-1B,proj_normal_pythia,0.3304,NaN,NaN,1
706.stockfish_r-pos_1to6_classical-1B,proj_xpt,0.3304,NaN,NaN,1
706.stockfish_r-pos_1to6_classical-1B,proj_xpt_pythia,0.3304,NaN,NaN,1
706.stockfish_r-pos_1to6_nnue-1B,proj_nopf,0.3304,0,0,1
706.stockfish_r-pos_1to6_nnue-1B,proj_pythia,0.3304,0,0,1
706.stockfish_r-pos_1to6_nnue-1B,proj_normal,0.3304,NaN,NaN,1
706.stockfish_r-pos_1to6_nnue-1B,proj_normal_pythia,0.3304,NaN,NaN,1
706.stockfish_r-pos_1to6_nnue-1B,proj_xpt,0.3304,NaN,NaN,1
706.stockfish_r-pos_1to6_nnue-1B,proj_xpt_pythia,0.3304,NaN,NaN,1
706.stockfish_r-pos_7to11_nnue-1B,proj_nopf,0.3304,0,0,1
706.stockfish_r-pos_7to11_nnue-1B,proj_pythia,0.3304,0,0,1
706.stockfish_r-pos_7to11_nnue-1B,proj_normal,0.3304,NaN,NaN,1
706.stockfish_r-pos_7to11_nnue-1B,proj_normal_pythia,0.3304,NaN,NaN,1
706.stockfish_r-pos_7to11_nnue-1B,proj_xpt,0.3304,NaN,NaN,1
706.stockfish_r-pos_7to11_nnue-1B,proj_xpt_pythia,0.3304,NaN,NaN,1
707.ntest_r-othello_154_20_16-1155B,proj_nopf,1.72323,0,0,1
707.ntest_r-othello_154_20_16-1155B,proj_pythia,1.72495,0,0,1
707.ntest_r-othello_154_20_16-1155B,proj_normal,1.72424,93.87,80.6,1
707.ntest_r-othello_154_20_16-1155B,proj_normal_pythia,1.72554,79.14,65.24,1
707.ntest_r-othello_154_20_16-1155B,proj_xpt,1.72324,97.83,0.39,1
707.ntest_r-othello_154_20_16-1155B,proj_xpt_pythia,1.72495,64.86,0.11,1
707.ntest_r-othello_154_20_16-1675B,proj_nopf,1.76698,0,0,1
707.ntest_r-othello_154_20_16-1675B,proj_pythia,1.76797,0,0,1
707.ntest_r-othello_154_20_16-1675B,proj_normal,1.76755,94.17,99.05,1
707.ntest_r-othello_154_20_16-1675B,proj_normal_pythia,1.76825,77.25,87.01,1
707.ntest_r-othello_154_20_16-1675B,proj_xpt,1.76698,100.0,0.11,1
707.ntest_r-othello_154_20_16-1675B,proj_xpt_pythia,1.76797,NaN,0.0,1
707.ntest_r-othello_154_20_16-1846B,proj_nopf,1.6694,0,0,1
707.ntest_r-othello_154_20_16-1846B,proj_pythia,1.6709,0,0,1
707.ntest_r-othello_154_20_16-1846B,proj_normal,1.67084,96.16,86.83,1
707.ntest_r-othello_154_20_16-1846B,proj_normal_pythia,1.67166,79.19,70.8,1
707.ntest_r-othello_154_20_16-1846B,proj_xpt,1.66941,100.0,0.27,1
707.ntest_r-othello_154_20_16-1846B,proj_xpt_pythia,1.6709,0.0,0.0,1
707.ntest_r-othello_154_20_16-680B,proj_nopf,1.75362,0,0,1
707.ntest_r-othello_154_20_16-680B,proj_pythia,1.75588,0,0,1
707.ntest_r-othello_154_20_16-680B,proj_normal,1.75502,86.05,89.76,1
707.ntest_r-othello_154_20_16-680B,proj_normal_pythia,1.75639,76.72,71.01,1
707.ntest_r-othello_154_20_16-680B,proj_xpt,1.75362,100.0,0.05,1
707.ntest_r-othello_154_20_16-680B,proj_xpt_pythia,1.75588,NaN,0.0,1
708.sqlite_r-cte_size2000-141B,proj_nopf,1.53353,0,0,1
708.sqlite_r-cte_size2000-141B,proj_pythia,1.53508,0,0,1
708.sqlite_r-cte_size2000-141B,proj_normal,1.53446,99.79,99.73,1
708.sqlite_r-cte_size2000-141B,proj_normal_pythia,1.53551,86.94,70.9,1
708.sqlite_r-cte_size2000-141B,proj_xpt,1.53385,100.0,35.49,1
708.sqlite_r-cte_size2000-141B,proj_xpt_pythia,1.53507,42.36,10.49,1
708.sqlite_r-cte_size2000-233B,proj_nopf,0.95908,0,0,1
708.sqlite_r-cte_size2000-233B,proj_pythia,1.8735,0,0,1
708.sqlite_r-cte_size2000-233B,proj_normal,1.08686,100.0,100.0,1
708.sqlite_r-cte_size2000-233B,proj_normal_pythia,1.88024,99.98,98.72,1
708.sqlite_r-cte_size2000-233B,proj_xpt,1.01779,100.0,49.96,1
708.sqlite_r-cte_size2000-233B,proj_xpt_pythia,1.8735,NaN,0.0,1
708.sqlite_r-cte_size2000-272B,proj_nopf,1.06501,0,0,1
708.sqlite_r-cte_size2000-272B,proj_pythia,1.07714,0,0,1
708.sqlite_r-cte_size2000-272B,proj_normal,1.06544,92.8,34.45,1
708.sqlite_r-cte_size2000-272B,proj_normal_pythia,1.07713,85.52,21.81,1
708.sqlite_r-cte_size2000-272B,proj_xpt,1.06501,100.0,0.0,1
708.sqlite_r-cte_size2000-272B,proj_xpt_pythia,1.07714,NaN,0.0,1
708.sqlite_r-cte_size2000-59B,proj_nopf,1.53236,0,0,1
708.sqlite_r-cte_size2000-59B,proj_pythia,1.53373,0,0,1
708.sqlite_r-cte_size2000-59B,proj_normal,1.53328,99.79,99.72,1
708.sqlite_r-cte_size2000-59B,proj_normal_pythia,1.53408,84.33,66.86,1
708.sqlite_r-cte_size2000-59B,proj_xpt,1.53285,99.61,46.88,1
708.sqlite_r-cte_size2000-59B,proj_xpt_pythia,1.53373,42.29,17.04,1
708.sqlite_r-fp_size1000-121B,proj_nopf,1.75282,0,0,1
708.sqlite_r-fp_size1000-121B,proj_pythia,1.76005,0,0,1
708.sqlite_r-fp_size1000-121B,proj_normal,1.75783,99.99,99.97,1
708.sqlite_r-fp_size1000-121B,proj_normal_pythia,1.76105,97.28,83.59,1
708.sqlite_r-fp_size1000-121B,proj_xpt,1.75462,99.99,49.87,1
708.sqlite_r-fp_size1000-121B,proj_xpt_pythia,1.76006,66.09,4.22,1
708.sqlite_r-fp_size1000-283B,proj_nopf,1.78173,0,0,1
708.sqlite_r-fp_size1000-283B,proj_pythia,1.79432,0,0,1
