TraceName,ExpName,ipc,precision,recall,Filter
811.tealeaf_s-default-16461B,bw3200_nopf,0.93827,0,0,1
823.llvm_s-particle_handler_0015-13B,bw3200_nopf,1.09446,0,0,1
737.gmsh_r-mediterranean-149B,bw3200_nopf,2.15746,0,0,1
822.palm_s-atmos-6227B,bw3200_nopf,1.46334,0,0,1
727.cppcheck_r-770_7z-57B,bw3200_nopf,1.16855,0,0,1
737.gmsh_r-torus-74B,bw3200_nopf,0.81957,0,0,1
820.cloverleaf_s-default-12184B,bw3200_nopf,1.36734,0,0,1
727.cppcheck_r-747_dealii-21B,bw3200_nopf,0.76873,0,0,1
721.gcc_r-ref32_O3_inline12000-41B,bw3200_nopf,0.56878,0,0,1
811.tealeaf_s-default-34631B,bw3200_nopf,0.83254,0,0,1
829.abc_s-bitcoin-289B,bw3200_nopf,1.62994,0,0,1
823.llvm_s-etf_inst3_0011-8B,bw3200_nopf,0.58075,0,0,1
846.minizinc_s-yumi_dynamic-256B,bw3200_nopf,0.31361,0,0,1
823.llvm_s-dagcombiner_0002-14B,bw3200_nopf,0.68259,0,0,1
849.fotonik3d_s-default-2571B,bw3200_nopf,0.55038,0,0,1
823.llvm_s-matrix_free_0019-11B,bw3200_nopf,0.82786,0,0,1
829.abc_s-ethernet_fraig-12B,bw3200_nopf,1.15324,0,0,1
823.llvm_s-etf_inst3_0005-11B,bw3200_nopf,0.70602,0,0,1
809.cactus_s-shifted_gauge_wave-6972B,bw3200_nopf,0.73219,0,0,1
729.abc_r-mcml-19B,bw3200_nopf,0.5038,0,0,1
737.gmsh_r-mediterranean-160B,bw3200_nopf,2.20165,0,0,1
722.palm_r-atmos-1670B,bw3200_nopf,1.30718,0,0,1
736.ocio_r-lut1d_halfdom-43B,bw3200_nopf,1.41567,0,0,1
823.llvm_s-standardinstrumentations_0014-2B,bw3200_nopf,0.86134,0,0,1
823.llvm_s-insn_recog_0005-15B,bw3200_nopf,1.1932,0,0,1
849.fotonik3d_s-default-7623B,bw3200_nopf,0.58644,0,0,1
820.cloverleaf_s-default-2345B,bw3200_nopf,0.60297,0,0,1
865.roms_s-benchmark3-2365B,bw3200_nopf,0.31332,0,0,1
823.llvm_s-matrix_free_0013-7B,bw3200_nopf,0.60101,0,0,1
821.gcc_s-lz4_0002-39B,bw3200_nopf,0.75546,0,0,1
854.graph500_s-bfs-1217B,bw3200_nopf,0.08107,0,0,1
737.gmsh_r-gasdis-121B,bw3200_nopf,1.07284,0,0,1
765.roms_r-benchmark2-871B,bw3200_nopf,0.59959,0,0,1
823.llvm_s-dagcombiner_0002-4B,bw3200_nopf,0.67751,0,0,1
727.cppcheck_r-738_diamond-63B,bw3200_nopf,1.43908,0,0,1
823.llvm_s-dagcombiner_0006-4B,bw3200_nopf,0.67881,0,0,1
729.abc_r-des_system90-32B,bw3200_nopf,0.71589,0,0,1
849.fotonik3d_s-default-11846B,bw3200_nopf,0.65142,0,0,1
822.palm_s-atmos-4359B,bw3200_nopf,1.47976,0,0,1
708.sqlite_r-main_size2000-136B,bw3200_nopf,0.83253,0,0,1
854.graph500_s-bfs-3313B,bw3200_nopf,0.54037,0,0,1
708.sqlite_r-main_size2000-499B,bw3200_nopf,1.06013,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_nopf,0.9107,0,0,1
809.cactus_s-shifted_gauge_wave-1690B,bw3200_nopf,0.73276,0,0,1
821.gcc_s-lz4hc_0007-10B,bw3200_nopf,0.70538,0,0,1
709.cactus_r-shifted_gauge_wave-27B,bw3200_nopf,0.3031,0,0,1
820.cloverleaf_s-default-11785B,bw3200_nopf,1.26203,0,0,1
823.llvm_s-modelsmodule_0010-23B,bw3200_nopf,1.22123,0,0,1
823.llvm_s-insn_recog_0005-14B,bw3200_nopf,0.5242,0,0,1
723.llvm_r-codegen-388B,bw3200_nopf,0.56622,0,0,1
821.gcc_s-lz4hc_0010-23B,bw3200_nopf,0.73151,0,0,1
800.pot3d_s-pot3d_n1-2544B,bw3200_nopf,0.25971,0,0,1
881.neutron_s-xsbench_event_unionized-1137B,bw3200_nopf,1.94605,0,0,1
823.llvm_s-inst_constrs_3_0017-27B,bw3200_nopf,1.12031,0,0,1
729.abc_r-des_system90-75B,bw3200_nopf,0.66758,0,0,1
800.pot3d_s-pot3d_n1-1067B,bw3200_nopf,0.22827,0,0,1
821.gcc_s-lz4hc_0018-31B,bw3200_nopf,0.82563,0,0,1
822.palm_s-atmos-35579B,bw3200_nopf,1.46571,0,0,1
736.ocio_r-lut1d_halfdom-6B,bw3200_nopf,1.09178,0,0,1
823.llvm_s-particle_handler_0018-5B,bw3200_nopf,0.90065,0,0,1
749.fotonik3d_r-default-128B,bw3200_nopf,0.39598,0,0,1
811.tealeaf_s-default-15369B,bw3200_nopf,0.8467,0,0,1
823.llvm_s-inst_constrs_3_0017-35B,bw3200_nopf,1.25923,0,0,1
823.llvm_s-grid_tools_dof_handlers_0009-11B,bw3200_nopf,0.73393,0,0,1
729.abc_r-des_system90-77B,bw3200_nopf,0.9357,0,0,1
829.abc_s-bitcoin-750B,bw3200_nopf,0.77384,0,0,1
708.sqlite_r-main_size2000-556B,bw3200_nopf,1.06619,0,0,1
823.llvm_s-particle_handler_0015-5B,bw3200_nopf,0.89835,0,0,1
823.llvm_s-generic_cpu_exec_6_0012-25B,bw3200_nopf,0.55004,0,0,1
729.abc_r-des_system90-103B,bw3200_nopf,0.62405,0,0,1
822.palm_s-atmos-2602B,bw3200_nopf,1.45673,0,0,1
737.gmsh_r-spec_hxt-62B,bw3200_nopf,1.41912,0,0,1
846.minizinc_s-yumi_dynamic-118B,bw3200_nopf,0.45665,0,0,1
846.minizinc_s-yumi_dynamic-40B,bw3200_nopf,0.58093,0,0,1
823.llvm_s-etf_inst3_0011-10B,bw3200_nopf,1.13406,0,0,1
734.vpr_r-smithwaterman_place-213B,bw3200_nopf,0.59416,0,0,1
709.cactus_r-shifted_gauge_wave-8B,bw3200_nopf,0.69936,0,0,1
820.cloverleaf_s-default-11714B,bw3200_nopf,0.64913,0,0,1
823.llvm_s-grid_tools_0008-19B,bw3200_nopf,0.82758,0,0,1
849.fotonik3d_s-default-1927B,bw3200_nopf,0.58702,0,0,1
727.cppcheck_r-770_7z-404B,bw3200_nopf,0.7816,0,0,1
829.abc_s-bitcoin-645B,bw3200_nopf,1.11743,0,0,1
737.gmsh_r-gasdis-149B,bw3200_nopf,0.76377,0,0,1
708.sqlite_r-fp_size1000-424B,bw3200_nopf,0.45542,0,0,1
737.gmsh_r-p19-70B,bw3200_nopf,0.87308,0,0,1
729.abc_r-des_system90-88B,bw3200_nopf,1.11249,0,0,1
749.fotonik3d_r-default-651B,bw3200_nopf,0.35234,0,0,1
823.llvm_s-matrix_free_0019-7B,bw3200_nopf,0.61553,0,0,1
821.gcc_s-lz4hc_0018-20B,bw3200_nopf,0.83407,0,0,1
727.cppcheck_r-738_diamond-4B,bw3200_nopf,1.30987,0,0,1
708.sqlite_r-cte_size2000-233B,bw3200_nopf,0.95908,0,0,1
823.llvm_s-etf_inst3_0011-14B,bw3200_nopf,0.71173,0,0,1
737.gmsh_r-spec_hxt-26B,bw3200_nopf,0.45598,0,0,1
829.abc_s-bitcoin-359B,bw3200_nopf,0.19926,0,0,1
881.neutron_s-rsbench_history-421B,bw3200_nopf,0.95743,0,0,1
823.llvm_s-selectiondagbuilder_0007-4B,bw3200_nopf,0.65467,0,0,1
722.palm_r-atmos-334B,bw3200_nopf,1.135,0,0,1
727.cppcheck_r-747_dealii-218B,bw3200_nopf,0.74831,0,0,1
809.cactus_s-shifted_gauge_wave-202B,bw3200_nopf,0.88079,0,0,1
727.cppcheck_r-738_diamond-320B,bw3200_nopf,1.44374,0,0,1
823.llvm_s-insn_recog_0005-26B,bw3200_nopf,1.16533,0,0,1
