TraceName,ExpName,ipc,precision,recall,Filter
811.tealeaf_s-default-34631B,nopref,0.83254,0,0,1
737.gmsh_r-gasdis-121B,nopref,1.07284,0,0,1
811.tealeaf_s-default-15369B,nopref,0.8467,0,0,1
749.fotonik3d_r-default-128B,nopref,0.39598,0,0,1
865.roms_s-benchmark3-2365B,nopref,0.31332,0,0,1
823.llvm_s-matrix_free_0019-7B,nopref,0.61553,0,0,1
865.roms_s-benchmark3-2540B,nopref,0.21339,0,0,1
823.llvm_s-matrix_free_0013-7B,nopref,0.60101,0,0,1
749.fotonik3d_r-default-651B,nopref,0.35234,0,0,1
727.cppcheck_r-770_7z-57B,nopref,1.16855,0,0,1
823.llvm_s-particle_handler_0018-5B,nopref,0.90065,0,0,1
823.llvm_s-dagcombiner_0002-14B,nopref,0.68259,0,0,1
729.abc_r-des_system90-88B,nopref,1.11249,0,0,1
729.abc_r-des_system90-75B,nopref,0.66758,0,0,1
829.abc_s-bitcoin-750B,nopref,0.77384,0,0,1
821.gcc_s-lz4hc_0007-10B,nopref,0.70538,0,0,1
708.sqlite_r-main_size2000-499B,nopref,1.06013,0,0,1
823.llvm_s-dagcombiner_0002-4B,nopref,0.67751,0,0,1
727.cppcheck_r-747_dealii-3B,nopref,0.59676,0,0,1
834.vpr_s-wb_conmax_route-461B,nopref,0.96252,0,0,1
811.tealeaf_s-default-33315B,nopref,0.93628,0,0,1
849.fotonik3d_s-default-2571B,nopref,0.55038,0,0,1
800.pot3d_s-pot3d_n1-2544B,nopref,0.25971,0,0,1
823.llvm_s-inst_constrs_3_0017-35B,nopref,1.25923,0,0,1
721.gcc_r-ref32_O3_inline12000-41B,nopref,0.56878,0,0,1
820.cloverleaf_s-default-11714B,nopref,0.64913,0,0,1
823.llvm_s-etf_inst3_0005-17B,nopref,0.91877,0,0,1
765.roms_r-benchmark2-871B,nopref,0.59959,0,0,1
829.abc_s-ethernet_fraig-186B,nopref,0.86486,0,0,1
823.llvm_s-particle_handler_0015-13B,nopref,1.09446,0,0,1
727.cppcheck_r-770_7z-38B,nopref,1.14416,0,0,1
823.llvm_s-grid_tools_0008-19B,nopref,0.82758,0,0,1
821.gcc_s-lz4hc_0009-6B,nopref,0.58537,0,0,1
823.llvm_s-inst_constrs_3_0017-27B,nopref,1.12031,0,0,1
800.pot3d_s-pot3d_n1-1067B,nopref,0.22827,0,0,1
734.vpr_r-smithwaterman_place-213B,nopref,0.59416,0,0,1
729.abc_r-des_system90-32B,nopref,0.71589,0,0,1
823.llvm_s-particle_handler_0015-5B,nopref,0.89835,0,0,1
737.gmsh_r-torus-33B,nopref,0.3469,0,0,1
823.llvm_s-particle_handler_0018-8B,nopref,0.5906,0,0,1
823.llvm_s-grid_tools_dof_handlers_0009-11B,nopref,0.73393,0,0,1
820.cloverleaf_s-default-12184B,nopref,1.36734,0,0,1
822.palm_s-atmos-6227B,nopref,1.46334,0,0,1
721.gcc_r-gcc_pp_O2_fpic-309B,nopref,0.54223,0,0,1
727.cppcheck_r-738_diamond-63B,nopref,1.43908,0,0,1
709.cactus_r-shifted_gauge_wave-8B,nopref,0.69936,0,0,1
736.ocio_r-heavy_transform-65B,nopref,1.19856,0,0,1
737.gmsh_r-spec_hxt-62B,nopref,1.41912,0,0,1
809.cactus_s-shifted_gauge_wave-6972B,nopref,0.73219,0,0,1
749.fotonik3d_r-default-45B,nopref,0.32829,0,0,1
823.llvm_s-modelsmodule_0010-23B,nopref,1.22123,0,0,1
709.cactus_r-shifted_gauge_wave-824B,nopref,0.91043,0,0,1
737.gmsh_r-projection-6B,nopref,0.45063,0,0,1
823.llvm_s-insn_recog_0005-14B,nopref,0.5242,0,0,1
800.pot3d_s-pot3d_n1-1519B,nopref,0.22095,0,0,1
865.roms_s-benchmark3-7363B,nopref,0.46728,0,0,1
849.fotonik3d_s-default-1927B,nopref,0.58702,0,0,1
737.gmsh_r-mediterranean-149B,nopref,2.15746,0,0,1
823.llvm_s-etf_inst3_0011-8B,nopref,0.58075,0,0,1
723.llvm_r-codegen-388B,nopref,0.56622,0,0,1
737.gmsh_r-choi-225B,nopref,0.85698,0,0,1
881.neutron_s-rsbench_history-421B,nopref,0.95743,0,0,1
823.llvm_s-selectiondagbuilder_0007-4B,nopref,0.65467,0,0,1
823.llvm_s-generic_cpu_exec_6_0012-25B,nopref,0.55004,0,0,1
846.minizinc_s-yumi_dynamic-256B,nopref,0.31361,0,0,1
727.cppcheck_r-738_diamond-4B,nopref,1.30987,0,0,1
727.cppcheck_r-747_dealii-218B,nopref,0.74831,0,0,1
821.gcc_s-lz4hc_0010-14B,nopref,0.5833,0,0,1
721.gcc_r-ref32_O3_inline12000-113B,nopref,0.30794,0,0,1
865.roms_s-benchmark3-3753B,nopref,1.03634,0,0,1
721.gcc_r-ref32_O3_inline12000-390B,nopref,0.32134,0,0,1
708.sqlite_r-fp_size1000-424B,nopref,0.45542,0,0,1
727.cppcheck_r-738_diamond-320B,nopref,1.44374,0,0,1
749.fotonik3d_r-default-599B,nopref,0.30928,0,0,1
736.ocio_r-lut1d_halfdom-43B,nopref,1.41567,0,0,1
854.graph500_s-bfs-3313B,nopref,0.54037,0,0,1
737.gmsh_r-p19-70B,nopref,0.87308,0,0,1
823.llvm_s-passbuilderpipelines_0003-2B,nopref,0.79766,0,0,1
846.minizinc_s-yumi_dynamic-40B,nopref,0.58093,0,0,1
853.ns3_s-tcp_validation-187B,nopref,0.1333,0,0,1
854.graph500_s-bfs-1217B,nopref,0.08107,0,0,1
820.cloverleaf_s-default-2345B,nopref,0.60297,0,0,1
709.cactus_r-shifted_gauge_wave-26B,nopref,0.81991,0,0,1
823.llvm_s-standardinstrumentations_0014-2B,nopref,0.86134,0,0,1
829.abc_s-bitcoin-645B,nopref,1.11743,0,0,1
867.nest_s-microcircuit-2574B,nopref,0.13912,0,0,1
809.cactus_s-shifted_gauge_wave-1690B,nopref,0.73276,0,0,1
737.gmsh_r-torus-74B,nopref,0.81957,0,0,1
737.gmsh_r-gasdis-149B,nopref,0.76377,0,0,1
736.ocio_r-lut1d_halfdom-6B,nopref,1.09178,0,0,1
823.llvm_s-insn_recog_0005-10B,nopref,0.83282,0,0,1
765.roms_r-benchmark2-900B,nopref,0.5972,0,0,1
849.fotonik3d_s-default-11846B,nopref,0.65142,0,0,1
829.abc_s-ethernet_fraig-12B,nopref,1.15324,0,0,1
722.palm_r-atmos-334B,nopref,1.135,0,0,1
708.sqlite_r-cte_size2000-233B,nopref,0.95908,0,0,1
749.fotonik3d_r-default-130B,nopref,0.35518,0,0,1
823.llvm_s-modelsmodule_0004-24B,nopref,1.01242,0,0,1
823.llvm_s-insn_recog_0005-15B,nopref,1.1932,0,0,1
722.palm_r-atmos-1670B,nopref,1.30718,0,0,1
821.gcc_s-lz4_0002-39B,nopref,0.75546,0,0,1
727.cppcheck_r-770_7z-404B,nopref,0.7816,0,0,1
823.llvm_s-matrix_free_0019-11B,nopref,0.82786,0,0,1
734.vpr_r-jpeg_place-76B,nopref,0.63175,0,0,1
834.vpr_s-wb_conmax_place-461B,nopref,0.96194,0,0,1
811.tealeaf_s-default-35333B,nopref,0.80493,0,0,1
829.abc_s-bitcoin-359B,nopref,0.19926,0,0,1
821.gcc_s-lz4hc_0018-20B,nopref,0.83407,0,0,1
737.gmsh_r-mediterranean-160B,nopref,2.20165,0,0,1
823.llvm_s-insn_recog_0005-26B,nopref,1.16533,0,0,1
729.abc_r-des_system90-103B,nopref,0.62405,0,0,1
729.abc_r-des_system90-77B,nopref,0.9357,0,0,1
709.cactus_r-shifted_gauge_wave-27B,nopref,0.3031,0,0,1
820.cloverleaf_s-default-11785B,nopref,1.26203,0,0,1
834.vpr_s-sparct1_place-411B,nopref,0.50467,0,0,1
881.neutron_s-xsbench_event_unionized-1137B,nopref,1.94605,0,0,1
821.gcc_s-lz4hc_0010-23B,nopref,0.73151,0,0,1
821.gcc_s-lz4hc_0018-31B,nopref,0.82563,0,0,1
849.fotonik3d_s-default-7623B,nopref,0.58644,0,0,1
737.gmsh_r-spec_hxt-26B,nopref,0.45598,0,0,1
729.abc_r-mcml-19B,nopref,0.5038,0,0,1
708.sqlite_r-main_size2000-136B,nopref,0.83253,0,0,1
823.llvm_s-particle_handler_0018-13B,nopref,1.09356,0,0,1
734.vpr_r-jpeg_route-49B,nopref,0.98816,0,0,1
708.sqlite_r-main_size2000-556B,nopref,1.06619,0,0,1
829.abc_s-bitcoin-289B,nopref,1.62994,0,0,1
821.gcc_s-lz4hc_0009-12B,nopref,0.79901,0,0,1
823.llvm_s-etf_inst3_0011-14B,nopref,0.71173,0,0,1
709.cactus_r-shifted_gauge_wave-19B,nopref,0.9107,0,0,1
736.ocio_r-mntr_srgb_8k-35B,nopref,1.09489,0,0,1
800.pot3d_s-pot3d_n1-2026B,nopref,0.24845,0,0,1
846.minizinc_s-yumi_dynamic-118B,nopref,0.45665,0,0,1
867.nest_s-microcircuit-9846B,nopref,0.23029,0,0,1
823.llvm_s-etf_inst3_0005-11B,nopref,0.70602,0,0,1
822.palm_s-atmos-35579B,nopref,1.46571,0,0,1
823.llvm_s-dagcombiner_0006-4B,nopref,0.67881,0,0,1
821.gcc_s-unicodeobject_0015-26B,nopref,0.72548,0,0,1
821.gcc_s-unicodeobject_0006-1B,nopref,0.98628,0,0,1
822.palm_s-atmos-4359B,nopref,1.47976,0,0,1
809.cactus_s-shifted_gauge_wave-202B,nopref,0.88079,0,0,1
811.tealeaf_s-default-16461B,nopref,0.93827,0,0,1
727.cppcheck_r-747_dealii-21B,nopref,0.76873,0,0,1
765.roms_r-benchmark2-985B,nopref,0.33642,0,0,1
823.llvm_s-etf_inst3_0011-10B,nopref,1.13406,0,0,1
822.palm_s-atmos-2602B,nopref,1.45673,0,0,1
846.minizinc_s-yumi_dynamic-119B,nopref,0.46135,0,0,1
811.tealeaf_s-default-34631B,pythia,1.48873,0,0,1
737.gmsh_r-gasdis-121B,pythia,1.24564,0,0,1
811.tealeaf_s-default-15369B,pythia,1.54175,0,0,1
749.fotonik3d_r-default-128B,pythia,0.41502,0,0,1
865.roms_s-benchmark3-2365B,pythia,0.32519,0,0,1
823.llvm_s-matrix_free_0019-7B,pythia,0.70103,0,0,1
865.roms_s-benchmark3-2540B,pythia,0.23047,0,0,1
823.llvm_s-matrix_free_0013-7B,pythia,0.68695,0,0,1
749.fotonik3d_r-default-651B,pythia,0.3891,0,0,1
727.cppcheck_r-770_7z-57B,pythia,1.36188,0,0,1
823.llvm_s-particle_handler_0018-5B,pythia,0.9452,0,0,1
823.llvm_s-dagcombiner_0002-14B,pythia,0.70545,0,0,1
729.abc_r-des_system90-88B,pythia,1.76867,0,0,1
729.abc_r-des_system90-75B,pythia,0.89735,0,0,1
829.abc_s-bitcoin-750B,pythia,0.81303,0,0,1
821.gcc_s-lz4hc_0007-10B,pythia,0.80971,0,0,1
708.sqlite_r-main_size2000-499B,pythia,1.08084,0,0,1
823.llvm_s-dagcombiner_0002-4B,pythia,0.77699,0,0,1
727.cppcheck_r-747_dealii-3B,pythia,0.76693,0,0,1
834.vpr_s-wb_conmax_route-461B,pythia,1.32683,0,0,1
811.tealeaf_s-default-33315B,pythia,1.53147,0,0,1
849.fotonik3d_s-default-2571B,pythia,0.97387,0,0,1
800.pot3d_s-pot3d_n1-2544B,pythia,0.28541,0,0,1
823.llvm_s-inst_constrs_3_0017-35B,pythia,1.3557,0,0,1
721.gcc_r-ref32_O3_inline12000-41B,pythia,0.71525,0,0,1
820.cloverleaf_s-default-11714B,pythia,1.27634,0,0,1
823.llvm_s-etf_inst3_0005-17B,pythia,0.95407,0,0,1
765.roms_r-benchmark2-871B,pythia,0.70144,0,0,1
829.abc_s-ethernet_fraig-186B,pythia,0.9162,0,0,1
823.llvm_s-particle_handler_0015-13B,pythia,1.17025,0,0,1
727.cppcheck_r-770_7z-38B,pythia,1.20226,0,0,1
823.llvm_s-grid_tools_0008-19B,pythia,0.88803,0,0,1
821.gcc_s-lz4hc_0009-6B,pythia,0.64911,0,0,1
823.llvm_s-inst_constrs_3_0017-27B,pythia,1.15792,0,0,1
800.pot3d_s-pot3d_n1-1067B,pythia,0.26171,0,0,1
734.vpr_r-smithwaterman_place-213B,pythia,0.64459,0,0,1
729.abc_r-des_system90-32B,pythia,0.77307,0,0,1
823.llvm_s-particle_handler_0015-5B,pythia,0.94259,0,0,1
737.gmsh_r-torus-33B,pythia,0.35085,0,0,1
823.llvm_s-particle_handler_0018-8B,pythia,0.66188,0,0,1
823.llvm_s-grid_tools_dof_handlers_0009-11B,pythia,0.82598,0,0,1
820.cloverleaf_s-default-12184B,pythia,1.99553,0,0,1
822.palm_s-atmos-6227B,pythia,1.76945,0,0,1
721.gcc_r-gcc_pp_O2_fpic-309B,pythia,0.65904,0,0,1
727.cppcheck_r-738_diamond-63B,pythia,1.5404,0,0,1
709.cactus_r-shifted_gauge_wave-8B,pythia,0.87013,0,0,1
736.ocio_r-heavy_transform-65B,pythia,1.23309,0,0,1
737.gmsh_r-spec_hxt-62B,pythia,1.51415,0,0,1
809.cactus_s-shifted_gauge_wave-6972B,pythia,0.73286,0,0,1
749.fotonik3d_r-default-45B,pythia,0.3604,0,0,1
823.llvm_s-modelsmodule_0010-23B,pythia,1.30583,0,0,1
709.cactus_r-shifted_gauge_wave-824B,pythia,0.92083,0,0,1
737.gmsh_r-projection-6B,pythia,0.45624,0,0,1
823.llvm_s-insn_recog_0005-14B,pythia,0.67025,0,0,1
800.pot3d_s-pot3d_n1-1519B,pythia,0.25853,0,0,1
865.roms_s-benchmark3-7363B,pythia,0.39292,0,0,1
849.fotonik3d_s-default-1927B,pythia,0.58998,0,0,1
