TraceName,ExpName,ipc,precision,recall,Filter
801.xz_s-cld_2700-17B,proj_nopf,1.87578,0,0,1
801.xz_s-cld_2700-17B,proj_pythia,1.88474,0,0,1
801.xz_s-cld_2700-17B,proj_normal,1.88463,93.87,88.11,1
801.xz_s-cld_2700-17B,proj_normal_pythia,1.88867,87.02,74.2,1
801.xz_s-cld_2700-17B,proj_xpt,1.87584,98.97,15.54,1
801.xz_s-cld_2700-17B,proj_xpt_pythia,1.88458,98.03,18.43,1
801.xz_s-cld_2700-199B,proj_nopf,1.8907,0,0,1
801.xz_s-cld_2700-199B,proj_pythia,1.90424,0,0,1
801.xz_s-cld_2700-199B,proj_normal,1.90718,92.59,99.44,1
801.xz_s-cld_2700-199B,proj_normal_pythia,1.91561,88.56,90.25,1
801.xz_s-cld_2700-199B,proj_xpt,1.89087,99.97,11.38,1
801.xz_s-cld_2700-199B,proj_xpt_pythia,1.9042,98.2,13.09,1
801.xz_s-cld_2700-414B,proj_nopf,1.88716,0,0,1
801.xz_s-cld_2700-414B,proj_pythia,1.90395,0,0,1
801.xz_s-cld_2700-414B,proj_normal,1.90491,92.99,99.41,1
801.xz_s-cld_2700-414B,proj_normal_pythia,1.91536,88.71,90.13,1
801.xz_s-cld_2700-414B,proj_xpt,1.88733,99.96,11.11,1
801.xz_s-cld_2700-414B,proj_xpt_pythia,1.90394,98.14,13.42,1
801.xz_s-cld_2700-49B,proj_nopf,1.87605,0,0,1
801.xz_s-cld_2700-49B,proj_pythia,1.8937,0,0,1
801.xz_s-cld_2700-49B,proj_normal,1.89511,94.59,99.63,1
801.xz_s-cld_2700-49B,proj_normal_pythia,1.90671,91.71,91.91,1
801.xz_s-cld_2700-49B,proj_xpt,1.87631,99.99,11.01,1
801.xz_s-cld_2700-49B,proj_xpt_pythia,1.89369,98.28,12.36,1
817.flac_s-compiler_puzzles_lvl6-161B,proj_nopf,1.7333,0,0,1
817.flac_s-compiler_puzzles_lvl6-161B,proj_pythia,1.73332,0,0,1
817.flac_s-compiler_puzzles_lvl6-161B,proj_normal,1.73332,100.0,97.74,1
817.flac_s-compiler_puzzles_lvl6-161B,proj_normal_pythia,1.73333,88.35,72.42,1
817.flac_s-compiler_puzzles_lvl6-161B,proj_xpt,1.7333,100.0,40.37,1
817.flac_s-compiler_puzzles_lvl6-161B,proj_xpt_pythia,1.73332,89.26,25.95,1
817.flac_s-compiler_puzzles_lvl6-391B,proj_nopf,1.73127,0,0,1
817.flac_s-compiler_puzzles_lvl6-391B,proj_pythia,1.73129,0,0,1
817.flac_s-compiler_puzzles_lvl6-391B,proj_normal,1.73128,100.0,97.72,1
817.flac_s-compiler_puzzles_lvl6-391B,proj_normal_pythia,1.7313,93.65,84.31,1
817.flac_s-compiler_puzzles_lvl6-391B,proj_xpt,1.73127,100.0,39.54,1
817.flac_s-compiler_puzzles_lvl6-391B,proj_xpt_pythia,1.73129,94.4,35.08,1
817.flac_s-compiler_puzzles_lvl6-49B,proj_nopf,1.73227,0,0,1
817.flac_s-compiler_puzzles_lvl6-49B,proj_pythia,1.73229,0,0,1
