exp,key,n_traces,geo_nopf,geo_pythia,worst_vs_pythia,worst_trace,mean_prec,mean_recall,flag
r02_c011,f21+f22,50,1.1631234768062249,1.0218454593290054,0.9520734194425561,749.fotonik3d_r-default-599B,78.7622,81.3122,True
r02_c142,f20+f27@17,50,1.1628504411518372,1.0216055877683035,0.9645978455682638,854.graph500_s-bfs-3313B,73.0844,81.654,True
r02_c110,f2+f20,50,1.1625437677393253,1.021336164237336,0.9710061182868795,749.fotonik3d_r-default-599B,74.9466,82.64479999999999,True
r02_c161,f20+f30@21,50,1.16253251796367,1.0213262809081787,0.9620110493154228,854.graph500_s-bfs-3313B,71.882,83.226,True
r02_c156,f20+f30@11,50,1.1622592946243788,1.0210862444595945,0.9619740950832395,854.graph500_s-bfs-3313B,70.59779999999999,83.20120000000001,True
r02_c131,f20+f25@20,50,1.1621419095875634,1.0209831175179973,0.9626947026108166,854.graph500_s-bfs-3313B,75.9158,79.506,True
r02_c155,f20+f29@21,50,1.1621215130453308,1.0209651984281654,0.9616969383418638,854.graph500_s-bfs-3313B,69.723,80.9416,True
r02_c115,f12+f20,50,1.1620838372434228,1.0209320988924118,0.9619925721993312,854.graph500_s-bfs-3313B,76.8284,78.443,True
r02_c014,f21+f23@12,50,1.1620410016796017,1.0208944663217854,0.9519714479945615,749.fotonik3d_r-default-599B,77.5654,81.0516,True
r02_c008,f18+f21,50,1.1620328352302896,1.020887291804793,0.9617267165193746,749.fotonik3d_r-default-599B,78.3436,78.6728,True
r02_c114,f10+f20,50,1.1619742310784789,1.0208358059672016,0.9619925721993312,854.graph500_s-bfs-3313B,77.006,78.49520000000001,True
r02_c054,f21+f30@21,50,1.1619685395195114,1.020830805729649,0.9584976206662135,749.fotonik3d_r-default-599B,78.1914,80.43260000000001,True
r02_c053,f21+f30@20,50,1.1619586444195493,1.020822112531405,0.9580897348742352,749.fotonik3d_r-default-599B,78.439,80.4618,True
r02_c137,f20+f26@20,50,1.16195587284769,1.0208196776066734,0.9643761201751632,854.graph500_s-bfs-3313B,74.2296,76.3392,True
r02_c026,f21+f26@12,50,1.1619556519271967,1.0208194835201405,0.9580557443915703,749.fotonik3d_r-default-599B,78.0432,79.286,True
r02_c039,f21+f28@14,50,1.161948258137538,1.0208129878122119,0.9570700203942895,749.fotonik3d_r-default-599B,77.5778,80.327,True
r02_c047,f21+f29@20,50,1.1619465385919172,1.0208114771300534,0.9544187627464309,749.fotonik3d_r-default-599B,78.23819999999999,79.6854,True
r02_c013,f21+f23@11,50,1.1619407476800256,1.020806389607413,0.9545207341944255,749.fotonik3d_r-default-599B,77.506,80.8084,True
r02_c056,f2+f27@21,50,1.1619192545934347,1.020787507164252,0.9459551325628823,749.fotonik3d_r-default-599B,69.189,84.3302,True
r02_c038,f21+f28@12,50,1.1619044260923195,1.0207744797971363,0.9595513256288238,749.fotonik3d_r-default-599B,77.8274,80.3016,True
r02_c050,f21+f30@12,50,1.1618883147046861,1.020760325368458,0.961590754588715,749.fotonik3d_r-default-599B,78.0762,79.4002,True
r02_c027,f21+f26@14,50,1.1618848921790164,1.0207573185575864,0.9608089734874233,749.fotonik3d_r-default-599B,77.9594,78.6886,True
r02_c022,f21+f25@17,50,1.1618567560880113,1.0207325999981127,0.9574779061862678,749.fotonik3d_r-default-599B,77.8176,79.3416,True
r02_c138,f20+f26@21,50,1.1618284706039144,1.0207077501914792,0.964782616729181,854.graph500_s-bfs-3313B,74.5566,76.3796,True
r02_c017,f21+f23@20,50,1.161776566070864,1.0206621502079232,0.9509857239972807,749.fotonik3d_r-default-599B,77.5668,80.0096,True
r02_c126,f20+f23@21,50,1.1617568786891501,1.0206448541409006,0.9619925721993312,854.graph500_s-bfs-3313B,76.4482,77.2524,True
r02_c018,f21+f23@21,50,1.1617527761523756,1.0206412499160196,0.9515635622025831,749.fotonik3d_r-default-599B,77.5592,79.9434,True
r02_c043,f21+f29@11,50,1.1616566791973468,1.0205568253135506,0.9603670972127805,749.fotonik3d_r-default-599B,78.2402,79.229,True
r02_c023,f21+f25@20,50,1.1616404545743502,1.0205425714035667,0.9611148878314072,749.fotonik3d_r-default-599B,77.7226,79.38380000000001,True
