exp,key,n_traces,geo_nopf,geo_pythia,worst_vs_pythia,worst_trace,mean_prec,mean_recall,flag
sweep01_c014,f20+f21+f22|act=2,50,1.1636397326167573,1.022299008471779,0.9741320374715914,854.graph500_s-bfs-3313B,84.0002,76.4538,True
sweep01_c005,f21+f22|act=-5,50,1.1631810039401167,1.0218959989679415,0.9554044867437117,749.fotonik3d_r-default-599B,79.836,80.1352,True
sweep01_c004,f21+f22|act=-7,50,1.1631234768062249,1.0218454593290054,0.9520734194425561,749.fotonik3d_r-default-599B,78.7622,81.3122,True
sweep01_c012,f20+f21+f22|act=-10,50,1.1630153967527104,1.0217505071471176,0.9626392712625413,854.graph500_s-bfs-3313B,78.8,83.0236,True
sweep01_c019,f21+f22+f27@17|act=-4,50,1.162897869986902,1.021647255691545,0.96162474507138,749.fotonik3d_r-default-599B,80.6028,78.7152,True
sweep01_c015,f18+f21+f22|act=-10,50,1.1626425554719577,1.0214229527839012,0.9565601631543168,749.fotonik3d_r-default-599B,78.3084,81.393,True
sweep01_c020,f21+f22+f27@17|act=2,50,1.1625028686427568,1.0213002329222585,0.9705642420122366,749.fotonik3d_r-default-599B,82.9806,75.12,True
sweep01_c023,f21+f22+f30@20|act=2,50,1.1622204708378479,1.0210521363784049,0.9665533650577838,749.fotonik3d_r-default-599B,82.633,74.8856,True
sweep01_c017,f18+f21+f22|act=2,50,1.161887477717167,1.0207595900450699,0.9650237933378654,749.fotonik3d_r-default-599B,82.6766,75.0194,True
sweep01_c021,f21+f22+f30@20|act=-10,50,1.1617453285622301,1.0206347069424446,0.9475434674156059,854.graph500_s-bfs-3313B,75.70479999999999,82.9742,True
sweep01_c013,f20+f21+f22|act=-4,50,1.1614845450848381,1.0204055993562295,0.9667411910349032,854.graph500_s-bfs-3313B,81.58279999999999,79.6982,True
sweep01_c026,f20+f21|act=-5,50,1.161222206078488,1.020175125182344,0.9727462537647126,854.graph500_s-bfs-3313B,80.0944,79.29560000000001,True
sweep01_c009,f21+f22|act=3,50,1.1609144417370583,1.0199047432314123,0.9737253569000679,749.fotonik3d_r-default-599B,82.8364,74.566,True
sweep01_c025,f20+f21|act=-9,50,1.1608154435328593,1.019817769778069,0.9687551966889009,854.graph500_s-bfs-3313B,77.9488,81.9384,True
sweep01_c010,f21+f22|act=5,50,1.1607670474491865,1.0197752520924266,0.9766145479265805,749.fotonik3d_r-default-599B,83.455,73.17779999999999,True
sweep01_c027,f20+f21|act=-1,50,1.160532509432089,1.0195692020791733,0.9574523172520928,800.pot3d_s-pot3d_n1-1519B,81.7396,77.3576,True
sweep01_c007,f21+f22|act=-1,50,1.1604761944064184,1.0195197273205419,0.9610339173211357,800.pot3d_s-pot3d_n1-1519B,81.3712,77.7328,True
sweep01_c006,f21+f22|act=-3,50,1.1604021630902608,1.0194546881688333,0.9520151894364375,800.pot3d_s-pot3d_n1-1519B,80.51480000000001,78.8642,True
sweep01_c001,f21+f22|act=-13,50,1.1603391378949073,1.0193993182868049,0.9361998640380693,749.fotonik3d_r-default-599B,69.91199999999999,87.985,True
sweep01_c028,f20+f21|act=3,50,1.1602576960038757,1.0193277686807576,0.9676361439544316,800.pot3d_s-pot3d_n1-1519B,83.05879999999999,74.929,True
sweep01_c011,f21+f22|act=7,50,1.1602083830914791,1.0192844455283807,0.9788991334232553,854.graph500_s-bfs-3313B,84.0248,71.9684,True
sweep01_c029,f20+f21|act=7,50,1.1601434902881118,1.0192274348861006,0.9786219766818796,854.graph500_s-bfs-3313B,84.07440000000001,72.743,True
sweep01_c016,f18+f21+f22|act=-4,50,1.1600709264632925,1.0191636849778734,0.9645479265805574,749.fotonik3d_r-default-599B,80.6708,78.0542,True
sweep01_c008,f21+f22|act=1,50,1.159869494064305,1.018986719430903,0.9646586691982394,800.pot3d_s-pot3d_n1-1519B,82.1258,76.0016,True
sweep01_c003,f21+f22|act=-9,50,1.1597193195028226,1.0188547857223864,0.9294899456287219,800.pot3d_s-pot3d_n1-1519B,77.332,82.5932,True
sweep01_c022,f21+f22+f30@20|act=-4,50,1.159698623901712,1.018836603898664,0.9546474497281436,800.pot3d_s-pot3d_n1-1519B,79.844,79.1916,True
sweep01_c018,f21+f22+f27@17|act=-10,50,1.1592154205975957,1.0184120925616564,0.9338914300509191,800.pot3d_s-pot3d_n1-1519B,77.3692,81.9812,True
sweep01_c002,f21+f22|act=-11,50,1.1590314842883302,1.0182504979535374,0.918615689997411,800.pot3d_s-pot3d_n1-1519B,75.1054,84.7992,True
sweep01_c024,f20+f21|act=-13,50,1.1590286693581453,1.01824802493697,0.9145594200396996,800.pot3d_s-pot3d_n1-1519B,71.5934,86.9252,True
sweep01_c000,f21+f22|act=-15,50,1.1580268110057184,1.0173678566412279,0.9298096532970768,749.fotonik3d_r-default-599B,63.172,90.1142,True
