exp,n_mixes,speedup_vs_nopf,speedup_vs_pythia,mean_precision,mean_recall
c2_pythia,100,1.0689,1.0,0.0,0.0
c2_xpt_pythia,100,1.0659,0.9972,64.7,7.0
c2_lite,100,1.0638,0.9953,84.0,66.4
c2_normal,100,1.0636,0.9951,84.8,67.4
c2_big,100,1.0633,0.9948,85.1,67.6
c2_big_noembed,100,1.062,0.9936,83.8,66.4
c2_normal_noembed,100,1.0616,0.9932,83.3,65.6
c2_lite_noembed,100,1.0598,0.9915,82.4,64.1
c2_big_alone,100,1.0233,0.9574,97.5,96.2
c2_normal_alone,100,1.0229,0.957,97.3,96.0
c2_lite_alone,100,1.0221,0.9562,97.2,95.7
c2_xpt,100,1.0042,0.9395,99.4,27.2
