exp,workload,n_traces,speedup_vs_nopf,speedup_vs_pythia,precision,recall
proj_big,706.stockfish_r,3,1.0,1.0,,
proj_big,707.ntest_r,4,1.0007,0.9996,89.39,91.33
proj_big,708.sqlite_r,12,1.0438,0.9409,97.24,97.75
proj_big,710.omnetpp_r,24,1.0009,1.0041,97.58,89.46
proj_big,714.cpython_r,9,1.0003,0.9996,99.32,96.87
proj_big,721.gcc_r,7,1.04,0.9255,89.85,69.33
proj_big,723.llvm_r,6,1.0103,1.002,88.99,75.97
proj_big,727.cppcheck_r,12,1.0743,0.9862,99.05,97.84
proj_big,729.abc_r,26,1.0203,0.9654,95.97,89.42
proj_big,734.vpr_r,11,1.0228,0.9637,90.85,80.76
proj_big,735.gem5_r,4,1.0009,1.0005,92.91,82.05
proj_big,750.sealcrypto_r,2,1.0124,0.9801,98.04,95.48
proj_big,753.ns3_r,24,1.0007,1.0008,93.09,84.53
proj_big_pythia,706.stockfish_r,3,1.0,1.0,,
proj_big_pythia,707.ntest_r,4,1.0014,1.0003,78.13,75.27
proj_big_pythia,708.sqlite_r,12,1.1324,1.0208,93.04,84.99
proj_big_pythia,710.omnetpp_r,24,0.9973,1.0005,81.73,60.55
proj_big_pythia,714.cpython_r,9,1.0007,1.0,88.38,67.91
proj_big_pythia,721.gcc_r,7,1.1379,1.0126,78.73,41.08
proj_big_pythia,723.llvm_r,6,1.0153,1.007,78.55,56.64
proj_big_pythia,727.cppcheck_r,12,1.1129,1.0216,87.53,64.25
proj_big_pythia,729.abc_r,26,1.0652,1.0079,81.24,62.69
proj_big_pythia,734.vpr_r,11,1.0683,1.0066,79.31,53.79
proj_big_pythia,735.gem5_r,4,1.0009,1.0005,81.31,61.46
proj_big_pythia,750.sealcrypto_r,2,1.0333,1.0003,89.35,80.09
proj_big_pythia,753.ns3_r,24,1.0002,1.0004,72.09,58.42
proj_lite,706.stockfish_r,3,1.0,1.0,,
proj_lite,707.ntest_r,4,1.0007,0.9996,90.28,89.5
proj_lite,708.sqlite_r,12,1.0425,0.9398,96.54,96.84
proj_lite,710.omnetpp_r,24,1.001,1.0042,97.67,90.23
proj_lite,714.cpython_r,9,1.0003,0.9996,99.38,96.93
proj_lite,721.gcc_r,7,1.0403,0.9258,89.14,71.88
proj_lite,723.llvm_r,6,1.0104,1.0021,88.95,75.96
proj_lite,727.cppcheck_r,12,1.0743,0.9862,98.96,97.98
proj_lite,729.abc_r,26,1.0203,0.9654,96.06,90.4
proj_lite,734.vpr_r,11,1.0215,0.9625,90.96,78.24
proj_lite,735.gem5_r,4,1.0008,1.0004,94.59,81.72
proj_lite,750.sealcrypto_r,2,1.0124,0.9801,98.47,96.82
proj_lite,753.ns3_r,24,1.0007,1.0008,94.15,84.52
proj_lite_pythia,706.stockfish_r,3,1.0,1.0,,
proj_lite_pythia,707.ntest_r,4,1.0013,1.0003,77.76,72.94
proj_lite_pythia,708.sqlite_r,12,1.1318,1.0203,91.93,83.37
proj_lite_pythia,710.omnetpp_r,24,0.9972,1.0004,80.4,62.35
proj_lite_pythia,714.cpython_r,9,1.0007,1.0,86.83,66.19
proj_lite_pythia,721.gcc_r,7,1.1376,1.0123,77.47,41.07
proj_lite_pythia,723.llvm_r,6,1.0146,1.0063,75.36,52.26
proj_lite_pythia,727.cppcheck_r,12,1.1084,1.0175,84.54,60.18
proj_lite_pythia,729.abc_r,26,1.0647,1.0074,80.96,63.33
proj_lite_pythia,734.vpr_r,11,1.0669,1.0053,77.68,47.23
proj_lite_pythia,735.gem5_r,4,1.0009,1.0005,81.45,60.26
proj_lite_pythia,750.sealcrypto_r,2,1.0333,1.0003,89.61,79.8
proj_lite_pythia,753.ns3_r,24,1.0003,1.0004,74.37,56.8
proj_normal,706.stockfish_r,3,1.0,1.0,,
proj_normal,707.ntest_r,4,1.0007,0.9996,89.57,90.93
proj_normal,708.sqlite_r,12,1.0435,0.9407,96.97,97.47
proj_normal,710.omnetpp_r,24,1.001,1.0042,97.62,89.77
