exp,workload,n_traces,speedup_vs_nopf,speedup_vs_pythia,precision,recall
proj_big,801.xz_s,4,1.0079,1.0005,94.75,95.5
proj_big,817.flac_s,42,1.0,1.0,100.0,97.9
proj_big,821.gcc_s,57,1.0142,0.9767,87.9,71.88
proj_big,823.llvm_s,87,1.0283,0.9987,95.51,88.25
proj_big,829.abc_s,8,1.0483,0.9631,94.92,92.36
proj_big,834.vpr_s,12,1.0254,0.9711,90.63,82.92
proj_big,835.gem5_s,4,1.0001,1.0,91.42,79.99
proj_big,838.diamond_s,1,1.0,0.9999,97.29,96.08
proj_big,846.minizinc_s,15,1.0126,0.9939,96.67,95.01
proj_big,853.ns3_s,26,1.0023,1.0102,85.85,77.45
proj_big,854.graph500_s,3,1.0064,0.994,86.52,89.24
proj_big_pythia,801.xz_s,4,1.0123,1.0049,89.55,85.82
proj_big_pythia,817.flac_s,42,1.0,1.0,90.63,74.14
proj_big_pythia,821.gcc_s,57,1.0436,1.0051,74.63,42.44
proj_big_pythia,823.llvm_s,87,1.0443,1.0143,82.59,64.05
proj_big_pythia,829.abc_s,8,1.1104,1.0202,86.87,70.24
proj_big_pythia,834.vpr_s,12,1.0656,1.0091,78.38,50.21
proj_big_pythia,835.gem5_s,4,1.0002,1.0001,79.45,57.16
proj_big_pythia,838.diamond_s,1,1.0001,1.0,96.45,95.71
proj_big_pythia,846.minizinc_s,15,1.0236,1.0047,83.57,66.83
proj_big_pythia,853.ns3_s,26,0.9935,1.0014,74.13,65.6
proj_big_pythia,854.graph500_s,3,1.0001,0.9878,87.49,90.46
proj_lite,801.xz_s,4,1.0077,1.0003,93.68,93.8
proj_lite,817.flac_s,42,1.0,1.0,100.0,98.02
proj_lite,821.gcc_s,57,1.0146,0.9771,88.18,74.86
proj_lite,823.llvm_s,87,1.0274,0.9979,95.06,86.62
proj_lite,829.abc_s,8,1.0481,0.963,94.4,93.08
proj_lite,834.vpr_s,12,1.0236,0.9694,90.63,79.51
proj_lite,835.gem5_s,4,1.0001,1.0,92.7,80.19
proj_lite,838.diamond_s,1,1.0,0.9999,99.13,95.18
proj_lite,846.minizinc_s,15,1.0127,0.994,96.36,94.82
proj_lite,853.ns3_s,26,1.0023,1.0103,86.87,77.1
proj_lite,854.graph500_s,3,1.0212,1.0086,89.91,75.82
proj_lite_pythia,801.xz_s,4,1.0123,1.0049,88.92,85.18
proj_lite_pythia,817.flac_s,42,1.0,1.0,90.45,74.04
proj_lite_pythia,821.gcc_s,57,1.0435,1.005,73.1,41.93
proj_lite_pythia,823.llvm_s,87,1.043,1.013,79.05,61.04
proj_lite_pythia,829.abc_s,8,1.109,1.0189,84.86,69.53
proj_lite_pythia,834.vpr_s,12,1.0643,1.0079,76.85,45.24
proj_lite_pythia,835.gem5_s,4,1.0002,1.0001,80.99,54.78
proj_lite_pythia,838.diamond_s,1,1.0001,1.0,95.97,96.04
proj_lite_pythia,846.minizinc_s,15,1.0233,1.0044,82.68,67.58
proj_lite_pythia,853.ns3_s,26,0.993,1.0009,74.85,64.97
proj_lite_pythia,854.graph500_s,3,0.9916,0.9794,86.17,92.57
proj_normal,801.xz_s,4,1.0078,1.0005,93.72,95.36
proj_normal,817.flac_s,42,1.0,1.0,100.0,97.91
proj_normal,821.gcc_s,57,1.0146,0.9772,87.97,74.39
proj_normal,823.llvm_s,87,1.0278,0.9982,95.38,86.9
proj_normal,829.abc_s,8,1.0484,0.9632,94.64,93.0
proj_normal,834.vpr_s,12,1.0243,0.97,90.47,81.35
proj_normal,835.gem5_s,4,1.0001,1.0,91.57,80.39
proj_normal,838.diamond_s,1,1.0,0.9999,97.29,96.06
proj_normal,846.minizinc_s,15,1.0127,0.994,96.57,94.94
proj_normal,853.ns3_s,26,1.0023,1.0103,86.26,77.48
proj_normal,854.graph500_s,3,1.0115,0.999,87.11,81.77
proj_normal_pythia,801.xz_s,4,1.0122,1.0048,88.93,84.85
proj_normal_pythia,817.flac_s,42,1.0,1.0,90.59,74.17
proj_normal_pythia,821.gcc_s,57,1.0434,1.0049,73.95,42.47
proj_normal_pythia,823.llvm_s,87,1.0429,1.0129,81.25,62.49
proj_normal_pythia,829.abc_s,8,1.1076,1.0176,86.23,70.26
proj_normal_pythia,834.vpr_s,12,1.0655,1.009,77.44,49.38
proj_normal_pythia,835.gem5_s,4,1.0002,1.0001,79.95,55.37
proj_normal_pythia,838.diamond_s,1,1.0001,1.0,96.34,95.81
proj_normal_pythia,846.minizinc_s,15,1.0234,1.0045,83.49,66.95
